Foldername,GroupIDRAT,GroupIDCAT,GroupIDAUT,Sender,IndividualID,pairedwithRAT,pairedwithCAT,pairedwithAUT,conditionRAT,conditionCAT,conditionAUT,participants
0002Normal,0002Normal,0002Normal,0002Normal,Marc,0002Normal0,0002Normal1,0002Normal1,0002Normal1,dyad,dyad,dyad,2
0002Normal,0002Normal,0002Normal,0002Normal,yaz1203,0002Normal1,0002Normal0,0002Normal0,0002Normal0,dyad,dyad,dyad,2
0003Normal,0003Normal,0003Normal,0003Normal,cattermole,0003Normal0,0003Normal1,0003Normal1,0003Normal1,dyad,dyad,dyad,2
0003Normal,0003Normal,0003Normal,0003Normal,nehac,0003Normal1,0003Normal0,0003Normal0,0003Normal0,dyad,dyad,dyad,2
0004Normal,0004Normal,0004Misinterpreted,0004Normal,rachel1,0004Normal0,0004Normal1,0004Normal1,0004Normal1,dyad,~,dyad,2
0004Normal,0004Normal,0004Misinterpreted,0004Normal,Zozo,0004Normal1,0004Normal0,0004Normal0,0004Normal0,dyad,~,dyad,2
0005Normal,0005Normal,0005Normal,0005Normal,Ermes,0005Normal0,0005Normal1,0005Normal1,0005Normal1,dyad,dyad,dyad,2
0005Normal,0005Normal,0005Normal,0005Normal,tasha,0005Normal1,0005Normal0,0005Normal0,0005Normal0,dyad,dyad,dyad,2
0006Normal,0006Normal,0006Normal,0006Normal,chrisross693,0006Normal0,0006Normal1,0006Normal1,0006Normal1,dyad,dyad,dyad,2
0006Normal,0006Normal,0006Normal,0006Normal,char,0006Normal1,0006Normal0,0006Normal0,0006Normal0,dyad,dyad,dyad,2
0007Normal,0007Normal,0007Normal,0007Normal,elle,0007Normal0,0007Normal1,0007Normal1,0007Normal1,dyad,dyad,dyad,2
0007Normal,0007Normal,0007Normal,0007Normal,mayabhogal,0007Normal1,0007Normal0,0007Normal0,0007Normal0,dyad,dyad,dyad,2
0008Normal,0008Normal,0008Normal,0008Normal,Teapot,0008Normal0,0008Normal1,0008Normal1,0008Normal1,dyad,dyad,dyad,2
0008Normal,0008Normal,0008Normal,0008Normal,likessheepbaa,0008Normal1,0008Normal0,0008Normal0,0008Normal0,dyad,dyad,dyad,2
0009Normal,0009Normal,0009Normal,0009Normal,Anx2013,0009Normal0,0009Normal1,0009Normal1,0009Normal1,dyad,dyad,dyad,2
0009Normal,0009Normal,0009Normal,0009Normal,HML93,0009Normal1,0009Normal0,0009Normal0,0009Normal0,dyad,dyad,dyad,2
0010Normal,0010Normal,0010Normal,0010Normal,Lakyn,0010Normal0,0010Normal1,0010Normal1,0010Normal1,dyad,dyad,dyad,2
0010Normal,0010Normal,0010Normal,0010Normal,Ilya,0010Normal1,0010Normal0,0010Normal0,0010Normal0,dyad,dyad,dyad,2
0011Normal,0011Normal,0011Normal,0011Normal,stocks,0011Normal0,0011Normal1,0011Normal1,0011Normal1,dyad,dyad,dyad,2
0011Normal,0011Normal,0011Normal,0011Normal,Haley,0011Normal1,0011Normal0,0011Normal0,0011Normal0,dyad,dyad,dyad,2
0012Normal,0012Normal,0012Normal,0012Normal,Coolguy,0012Normal0,0012Normal1,0012Normal1,0012Normal1,dyad,dyad,dyad,2
0012Normal,0012Normal,0012Normal,0012Normal,amazeballs,0012Normal1,0012Normal0,0012Normal0,0012Normal0,dyad,dyad,dyad,2
0013Normal,0013Normal,0013Normal,0013Normal,Becca,0013Normal0,0013Normal1,0013Normal1,0013Normal1,dyad,dyad,dyad,2
0013Normal,0013Normal,0013Normal,0013Normal,NOAH,0013Normal1,0013Normal0,0013Normal0,0013Normal0,dyad,dyad,dyad,2
0014NonInteractive,0013FakeNonInteractive,0013FakeNonInteractive,0013FakeNonInteractive,Najah,0014NonInteractive,0013Normal0,0013Normal0,0013Normal0,playback,playback,playback,1
0015NonInteractive,0013FakeNonInteractive,0013FakeNonInteractive,0013FakeNonInteractive,BULB,0015NonInteractive,0013Normal1,0013Normal1,0013Normal1,playback,playback,playback,1
0016NonInteractive,0012FakeNonInteractive,0012FakeNonInteractive,0012FakeNonInteractive,Robyn123,0016NonInteractive,0012Normal0,0012Normal0,0012Normal0,playback,playback,playback,1
0017NonInteractive,0012FakeNonInteractive,0012FakeNonInteractive,0012FakeNonInteractive,Dave,0017NonInteractive,0012Normal1,0012Normal1,0012Normal1,playback,playback,playback,1
0018NonInteractive,0011FakeNonInteractive,0011FakeNonInteractive,0011FakeNonInteractive,Tiger,0018NonInteractive,0011Normal0,0011Normal0,0011Normal0,playback,playback,playback,1
0019NonInteractive,0011FakeNonInteractive,0011FakeNonInteractive,0011FakeNonInteractive,Gemz,0019NonInteractive,0011Normal1,0011Normal1,0011Normal1,playback,playback,playback,1
0020NonInteractive,0010FakeNonInteractive,0010FakeNonInteractive,0010FakeNonInteractive,Mado,0020NonInteractive,0010Normal0,0010Normal0,0010Normal0,playback,playback,playback,1
0021NonInteractive,0009FakeNonInteractive,0009FakeNonInteractive,0009FakeNonInteractive,Eleanor,0021NonInteractive,0009Normal0,0009Normal0,0009Normal0,playback,playback,playback,1
0022NonInteractive,0009FakeNonInteractive,0009FakeNonInteractive,0009FakeNonInteractive,Dave,0022NonInteractive,0009Normal1,0009Normal1,0009Normal1,playback,playback,playback,1
0023NonInteractive,0008FakeNonInteractive,0008FakeNonInteractive,0008FakeNonInteractive,Babs,0023NonInteractive,0008Normal0,0008Normal0,0008Normal0,playback,playback,playback,1
0024NonInteractive,0008FakeNonInteractive,0008FakeNonInteractive,0008FakeNonInteractive,watermelon,0024NonInteractive,0008Normal1,0008Normal1,0008Normal1,playback,playback,playback,1
0025NonInteractive,0010FakeNonInteractive,0010FakeNonInteractive,0010FakeNonInteractive,moose,0025NonInteractive,0010Normal1,0010Normal1,0010Normal1,playback,playback,playback,1
0026NonInteractive,0007FakeNonInteractive,0007FakeNonInteractive,0007FakeNonInteractive,Natasha,0026NonInteractive,0007Normal0,0007Normal0,0007Normal0,playback,playback,playback,1
0027NonInteractive,0007FakeNonInteractive,0007FakeNonInteractive,0007FakeNonInteractive,TheChosenOne,0027NonInteractive,0007Normal1,0007Normal1,0007Normal1,playback,playback,playback,1
0028NonInteractive,0006FakeNonInteractive,0006FakeNonInteractive,0006FakeNonInteractive,Darren,0028NonInteractive,0006Normal0,0006Normal0,0006Normal0,playback,playback,playback,1
0029NonInteractive,0005FakeNonInteractive,0005FakeNonInteractive,0005FakeNonInteractive,Daniel,0029NonInteractive,0005Normal0,0005Normal0,0005Normal0,playback,playback,playback,1
0030NonInteractive,0005FakeNonInteractive,0005FakeNonInteractive,0005FakeNonInteractive,vmistry94,0030NonInteractive,0005Normal1,0005Normal1,0005Normal1,playback,playback,playback,1
0031NonInteractive,0006FakeNonInteractive,0006FakeNonInteractive,0006FakeNonInteractive,hajara,0031NonInteractive,0006Normal1,0006Normal1,0006Normal1,playback,playback,playback,1
0032NonInteractive,0004FakeNonInteractive,0032Individual,0004FakeNonInteractive,Nicola,0032NonInteractive,0004Normal0,~,0004Normal0,playback,individual,playback,1
0033NonInteractive,0004FakeNonInteractive,0033Individual,0004FakeNonInteractive,samd,0033NonInteractive,0004Normal1,~,0004Normal1,playback,individual,playback,1
0034NonInteractive,0003FakeNonInteractive,0003FakeNonInteractive,0034Individual,wero,0034NonInteractive,0003Normal0,0003Normal0,~,playback,playback,individual,1
0035NonInteractive,0003FakeNonInteractive,0003FakeNonInteractive,0003FakeNonInteractive,jsb9043,0035NonInteractive,0003Normal1,0003Normal1,0003Normal1,playback,playback,playback,1
0036NonInteractive,0002FakeNonInteractive,0002FakeNonInteractive,0036Individual,olli,0036NonInteractive,0002Normal0,0002Normal0,~,playback,playback,individual,1
0037Normal,0037Normal,0037Normal,0037Normal,munso,0037Normal0,0037Normal1,0037Normal1,0037Normal1,dyad,dyad,dyad,2
0037Normal,0037Normal,0037Normal,0037Normal,liam,0037Normal1,0037Normal0,0037Normal0,0037Normal0,dyad,dyad,dyad,2
0038NonInteractive,0002FakeNonInteractive,0002FakeNonInteractive,0002FakeNonInteractive,Carol,0038NonInteractive,0002Normal1,0002Normal1,0002Normal1,playback,playback,playback,1
0039NonInteractive,0039Individual,0039Individual,0003FakeNonInteractive,chloeelizabeth,0039NonInteractive,~,~,0003Normal0,individual,individual,playback,1
0040Normal,0040Normal,0040Normal,0040Normal,Grantypantz,0040Normal0,0040Normal1,0040Normal1,0040Normal1,dyad,dyad,dyad,2
0040Normal,0040Normal,0040Normal,0040Normal,dsefalk,0040Normal1,0040Normal0,0040Normal0,0040Normal0,dyad,dyad,dyad,2
0041NonInteractive,0037FakeNonInteractive,0037FakeNonInteractive,0037FakeNonInteractive,sunshine92,0041NonInteractive,0037Normal0,0037Normal0,0037Normal0,playback,playback,playback,1
0042NonInteractive,0037FakeNonInteractive,0037FakeNonInteractive,0037FakeNonInteractive,aaishag,0042NonInteractive,0037Normal1,0037Normal1,0037Normal1,playback,playback,playback,1
0043NonInteractive,0040FakeNonInteractive,0040FakeNonInteractive,0040FakeNonInteractive,bt10378,0043NonInteractive,0013Normal0,0040Normal0,0040Normal0,playback,playback,playback,1
0044NonInteractive,0040FakeNonInteractive,0040FakeNonInteractive,0040FakeNonInteractive,Metroid,0044NonInteractive,0013Normal1,0040Normal1,0040Normal1,playback,playback,playback,1
0045NonInteractive,0045Individual,0045Individual,0045Individual,phill,0045NonInteractive,~,~,~,individual,individual,individual,1
0046NonInteractive,0046Individual,0046Individual,0002FakeNonInteractive,marvellousm,0046NonInteractive,~,~,0002Normal0,individual,individual,playback,1
0048Normal,0048Individual,0048Individual,0048Individual,slimlin,0048Normal,~,~,~,individual,individual,individual,1
0049Normal,0049Individual,0049Individual,0049Individual,Boolface,0049Normal,~,~,~,individual,individual,individual,1
0050Normal,0050Individual,0050Individual,0050Individual,Raeesa,0050Normal,~,~,~,individual,individual,individual,1
0051Normal,0051Individual,0051Individual,0051Individual,Sukaina,0051Normal,~,~,~,individual,individual,individual,1
0052Normal,0052Individual,0052Individual,0052Individual,Maha,0052Normal,~,~,~,individual,individual,individual,1
0056Normal,0056Individual,0056Individual,0056Individual,Draginkid,0056Normal,~,~,~,individual,individual,individual,1
0057Normal,0057Individual,0057Individual,0057Individual,svh90,0057Normal,~,~,~,individual,individual,individual,1
0058Normal,0058Individual,0058Individual,0058Individual,rlh1001,0058Normal,~,~,~,individual,individual,individual,1
0059Normal,0059Individual,0059Individual,0059Individual,EmmaGalt,0059Normal,~,~,~,individual,individual,individual,1
