typed	code	subcode
!!!	~	~
(can't fly like the osterich!)	ostrich	~
(polar) bear	polarbear	~
(that was a load of uk, ex-uk ones	~	~
*beef	~	~
*coyote	coyote	~
*duck	duck	~
*gazelle	gazelle	~
*panther	panther	~
*pig	pig	~
*rat	rat	~
*snake	snake	~
*tha	~	~
*that	~	~
..	~	~
/next	~	~
?	~	~
a whole book about hamsters?	hamster	~
aardvark	aardvark	~
acopi	okapi	~
adder	adder	~
african elephant	elephant	african
aha!	~	~
ahh thats the one	~	~
albania	~	~
aligator	alligator	~
al-jufiwara	~	~
alligator	alligator	~
alligators	alligator	~
always wanted one	~	~
amphibious mammals	mammal	~
anaconda	anaconda	~
anaenome	anemone	~
and you said fish before	fish	~
angel fish	angelfish	~
angelfish	angelfish	~
animal kingdom 	~	~
animal rights	~	~
animals	~	~
anomalies-platypus	platypus	~
anr	ant	~
ant	ant	~
ant - what else would the anteater eat?!?	ant/anteater	~
ant eater	anteater	~
ant, antelope, bear, bug, baboon, cat, cheetah, dog, dinasour( when instinct), elephant, fish, frog. giraffe, gorilla, horse, hamster, jaguar, kangaroo, kowala(sp), lion	ant/antelope/bear/bug/baboon/cat/cheetah/dog/dinosaur/elephant/fish/frog/giraffe/gorilla/horse/hamster/jaguar/kangaroo/koala/lion	~
anteater	anteater	~
anteater even	anteater	~
antelope	antelope	~
antelopes	antelope	~
anteter	anteater	~
ants	ant	~
ants - we have learnt so much about ants 	ant	~
ape	ape	~
aphids	aphid	~
aple	ape	~
arctic fox	snowfox	~
are humans animals? or does our sense of reason distinguish us and make us fundamentally different?	human	~
are insects animals?	insect	~
are those animals right?	~	~
aries	sheep	aries
armadillo	armadillo	~
armadillo9	armadillo	~
armidillo	armadillo	~
arse	~	~
art	rat	~
as in they are angry and they attack people 	~	~
as is spook	~	~
asexual 	~	~
asian elephant	elephant	asian
asiatic honey bee	honeybee	~
asp	asp	~
austrich	ostrich	~
aw	~	~
axalotyl	axolotl	~
aye aye	~	~
baboon	baboon	~
badger	badger	~
badger 	badger	~
baer	bear	~
balck widow	blackwidow	~
bald eagle	eagle	bald
ball python	python	ball
baracuda	barracuda	~
basilisk	basilisk	~
bat	bat	~
bay	bat	~
bear	bear	~
bear!	bear	~
bearded dragon	lizard	beardeddragon
bears	bear	~
bears 	bear	~
beatle	beetle	~
beaver	beaver	~
bee	bee	~
beef	~	~
bees	bee	~
beetle	beetle	~
beetles	beetle	~
beew	~	~
beluga whale	whale	beluga
bengal tigers	bengaltiger	~
betta splendens	betta	~
big	~	~
big cats such as lions, tigers, lepoards, cheetas,  	lion/tiger/leopard/cheetah	~
bio diversity 	~	~
bird	bird	~
bird 	bird	~
bird flu 	bird	~
birds	bird	~
birds is really broad	bird	~
bison	bison	~
bivalves	mussel	bivalve
black bear	blackbear	~
black widow	blackwidow	~
black widows	blackwidow	~
blackbird	blackbird	~
blue jay	bluejay	~
blue tiger	tiger	blue
blue tit	bird	bluetit
blue tongued skink	skink	blutongued
blue whale	bluewhale	~
bluebird	bluebird	~
bluejay	bluejay	~
boa constrcitor	boaconstrictor	~
boadger	badger	~
boar	boar	~
boars	boar	~
bobcat	bobcat	~
bonobo	bonobo	~
bottle nose dolphin	dolphin	bottlenose
bottlenose dolphin	dolphin	bottlenose
bovines	cow	bovine
brittle star	starfish	brittlestar
brown	~	~
brown anole	anole	brown
brown bear	brownbear	~
budgery gah	budgerigar	~
budgie	budgerigar	~
buffalo	buffalo	~
buffaloo	buffalo	~
bull	bull	~
bulls	bull	~
bumble bee	bee	~
bushbaby	bushbaby	~
but it falls under fish	fish	~
but my friend got me a rat instead	rat	~
but neither are...	~	~
but smaller?	~	~
buterfly	butterfly	~
butterflies	butterfly	~
butterfly	butterfly	~
calanus	shrimp	calanus
calbear	bear	~
camel	camel	~
cant remember if we said that	~	~
carnivore omnivore 	~	~
carolina corn snake	cornsnake	~
cart	cat	~
cat	cat	~
cat 	cat	~
cat dog mouse	cat/dog/mouse	~
cat dog zebra elephant bear platypus camel	cat/dog/zebra/elephant/bear/platypus/camel	~
categories worked last time	~	~
caterpillar	caterpillar	~
caterpillars	caterpillar	~
caterpillas	caterpillar	~
catfish	catfish	~
cats	cat	~
cattle	cattle	~
cayote	coyote	~
cayoter	coyote	~
centipede	centipede	~
centipedes	centipede	~
chamaeleon	chameleon	~
chameleon	chameleon	~
cheater	cheetah	~
cheeta	cheetah	~
cheetah	cheetah	~
cheetahs	cheetah	~
chettah	cheetah	~
chicken	chicken	~
chickens	chicken	~
chimp	chimpanzee	~
chimpanzee	chimpanzee	~
chinchilla	chinchilla	~
chinchillas	chinchilla	~
chinese mitten crab	crab	chinesemitten
chipmunk	chipmunk	~
chop chop	~	~
chthalamus montagui	crab	chthalamus montagui
cin-chilla	chinchilla	~
circus acts - bears are often forced to perform tricks 	bear	~
clown fish	clownfish	~
clownfish	clownfish	~
cobra	cobra	~
