"B08, A07, T11D, T02, B10D, P04, T04, P01, A04, A11, P09D, T03, A12, P10, B01, B06, P03, A02, P02, B02, T07, A05, B11, T05"
"T11, P02, T02, B10, P09, P04, P03, B08, A12, B11, P01D, A04, T03, B02, A07D, T05, T04, A11, A02, B06, B01, T07D, A05, P10"
"T03, T05, B08, T02, P01, T07, A02, P10, T04D, P04, A05, A07, P03, B10, B01, B06, P09, B02D, B11, A11, P02, T11, A04, A12D"
X
"A02, P09, T07, T11, B10D, A11, A12D, T05, B08, P01, P02, T03, B11, B06, A05, A07D, B02, B01, A04, P03, P10, T02, T04, P04"
"B06, P04, A12, A07, B08, A02, P09, T07, P01, T03, B10, A04, A05, P03, T05, A11, P10, T04D, T02, B02D, P02, B11, B01, T11D"
"P10, A07, A12, A11, P02, B08, T07, T05, A04D, P03, T02, B10, P09D, B06, P04, T04, A02, T11, B11, B01, B02, P01D, A05, T03"
X
"P02, P03, T03, A05, T02, P04, T07, B10, P01D, A11, B01, P09, A07D, B02D, T11, A02, B08, T04, A04, A12, B11, T05, P10, B06"
"B06, T05, A07, A04, A05, A02, B02, T04, T03, P10, P03D, B11, B08, P01, P04, P09, A11, T02, B10, T11D, B01, A12D, P02, T07"
"A05, B06D, B10, T03, T02, B08, T07D, A12, P10, A07, A11, P03, B02, T11, P01, B11, P09D, B01, P02, A02, A04, T04, P04, T05"
X
"P09, B08, B01, T03, P02, T11D, P10, P04, B11, T05, T07, A12, P01, A05, B02D, A02, A04, A11, B10D, A07, T04, P03, T02, B06"
"P03, T04, B06D, T02, P10, P04, B01, A12D, P01D, P09, T07, B11, A02, A05, B08, B10, T05, T03, A11, B02, A07, P02, T11, A04"
"P02, B01, T02, P10, P04, A12, B02, A11, A04, B06, P09D, T04, T07, T03, T11, B08, B11, A05, T05, A02, P01, A07D, B10, P03D"
X
"B02, P04, B10, P02, T05, P10, T02, P09, T07, P01D, A05, P03, T04, B06, T03, B01, A11, A12D, T11D, A07, B11, A04, A02, B08"
"P10, T11, P03D, B06D, P02, T04, A12, T05, T03, T02, B02, B01, T07, B08, A04, P01, A07, P09, A11, A02, B11, B10D, A05, P04"
"T02, B11, T04, T03, P04, B06, T05, A11, P09D, P02, P01, A12, A04, B02D, T07D, A07, P03, B10, A02, A05, B01, B08, T11, P10"
X
"A05, T11, A11, B01, B08, B11, P02, P03D, P04, T03, B02, P10, P01, P09, A02, T04, T05, B10D, T07D, B06, A04, T02, A07, A12"
"B06, A12, T03, A07D, T05, P09D, T11, P01D, A05, T02, P03, T04, T07, P10, B10, A02, A04, B11, A11, P02, P04, B01, B02, B08"
"T05, A04D, P02, P01, B08, P03, B01, P09, P04, T07, B02, A05, T04D, A07, A12, T11D, B06, P10, T02, A02, T03, B10, A11, B11"
X
"B06, T02, B02, P01, B10D, B01, B11, P02, A04, P03, T04D, T03, A05, B08, A02, P10, A12, A07D, A11, P04, T11, P09, T07, T05"
"T07D, P10, T03, P04, P03D, T05, B02, B10, A05, B08, B11, T02, A11, A07, B01, P01D, A12, A02, T04, T11, P09, B06, A04, P02"
"A07, P09, T05, T03, A05, B02, A02, T11D, B11, T02, A11, B08, P02, P01, B10, P04, B06D, A04, P10, A12D, B01, T04, T07, P03"
X
"T05, B10, T03, A07D, B11, B01, T11D, T02, B06, A04, B08, P03, P01, A11, T07, A05, T04, A02, P02, A12D, P04, P10, B02, P09"
"B02D, A02, P02, A11, P03, P01, P10, A04, P04, A05, B01, T02, T11, T05, B06, T03, B08, A07, B10, T07D, P09D, T04, B11, A12"
"A02, P10, B01, T11, A05, B08, B02, T07, T04D, A11, A04D, A12, T03, B10, P01, P04, P09, P03, A07, B06D, P02, T02, T05, B11"
X
"A04, P03, A07, P04, B08, P01, T05, B02D, T07D, B06, A02, T11, A12D, P02, B10, B01, A05, B11, T02, T04, P09, A11, T03, P10"
"P02, T02, P04, A02, B06, A11, T11D, P03, A04, P01D, B11, B01, P10, T03, A12, P09D, B02, B10, B08, A07, A05, T04, T05, T07"
"B11, A02, A05, T07, P02, A11, T03, T11, T05, P01, P04, A04D, P10, B01, B10, B02, T04D, A07, B06, A12, P03D, T02, B08, P09"
X
"B02, B01, T04D, B11, T03, P02, T11, B08, A02, P03, T07, A11, T02, P09, A05, B06D, B10, T05, P04, P10, P01D, A04, A12, A07"
"B02, A04, P03D, P10, T04, B10, T02, B11, B06, P09D, B08, A05, T03, T05, A11, T11D, P01, A07, A12, P04, B01, T07, P02, A02"
"T07, P01, A05, T02, A07, B10D, B02, B08, B11, A11, B01, P10, T05, P09, A04D, T03, P04, T04, A02, P03, T11, B06, P02, A12D"
X
