"A02D, T07, B04, T10D, T05, P05, T02, A01, B10D, T03, B11, P01, T04, P07, P11, A08, A07, B01, P12, B12, A10, P02, A12, B02"
"B04, T04, A02, P07, A07, B11, P12D, A01, B02D, P11, A10, A12, B10, T07D, P05, T10, A08, P02, T03, T02, B12, T05, B01, P01"
"P02, A02, P11, A07, B11, P01, A10, T04, T07, T03, A08D, A12D, T02D, T05, B12, B02, P07, B04, T10, A01, B10, B01, P05, P12"
X
"A10, T05, T07, B02, B01, A07, T04, P02D, A08, P01, P12, P05, A02, B11D, B12, T03, A12, A01, B04, P07, B10, P11D, T02, T10"
"P12, B01, T07, B10D, P02, A01, P05, T03, T02, T10, B12, A08, T04, P01, T05, A10, A12D, B04, B11, P07, B02, P11, A02D, A07"
"B11, A10, P02, T10, T05, A01, A08, A12, P07, P01, P12, T04, P05, T02D, B12, A07, P11, T03, B10, B02D, B04, B01, T07D, A02"
X
"T02, T04, A01, P12, B12, P11D, T05, B01, P07, T10, P05, A08, P01, B11, A07, B10, P02D, B02, T07, A10, A12D, B04, T03, A02"
"P05, T07, B12, T10D, P02, T04, T02, B01, P11, A08D, B02, T03, A02, T05, A10, P12D, A01, A12, P01, A07, B11, P07, B04, B10"
"A01, T04, B01, T02D, B12, T05, P02, T03, B02D, P11, A10, A07, A02, P07, B04, B10, T07, A12, A08, B11D, P01, P12, T10, P05"
X
"T05, B01, B10, P12, P07, B11, A08D, T02, A12, P01, P05, B04, T10, A07, B12, B02, P02, A01, T03, A10, A02, T07D, P11D, T04"
"A01, A02D, B01, P11, T02, A10, P05, A08, B11, T03, B02D, T05, A12, P12, P07, P01, T04, B12, P02D, T10, B10, A07, T07, B04"
"P02, B10, T02, P05, P01, B11, T10D, T05, P12D, A02, A07, A12D, B12, P11, P07, A08, B04, T07, T04, T03, B02, A10, A01, B01"
X
"T02, A01, P11, A12, T03, A10, P05, A02, A08, T07, P02, T10D, P12, B04, B10D, T04, B11D, B02, B12, T05, B01, P07, A07, P01"
"T10, B04, P01, P05, A08, B12, B01, A07, A02D, T05, B10, B11, P02, P07, T02D, A01, T04, T07, A12D, P12, A10, P11, B02, T03"
"B02, A07, A10, A01, P01, B01, B04, B10, T05, A12, T04, T10, P11, T03, P12D, T02, T07, A02, B12, P07, P05, B11, A08D, P02D"
X
"B10, B04, B11, T10, T02D, T03, B01, P11, P02, B12, A07, P01, T05, A01, A02, A08D, A12, P07, T04, P12, A10, B02, T07D, P05"
"P12, T03, T02, B11, B10D, P02, B01, A10, T07, B12, A02D, B02, T05, P05, A01, T10, P11, P07, A12D, T04, A07, A08, P01, B04"
"A10, T04, B04, T10, A12, P05, A01, T02, A07, P12, A02, A08, B02, P11D, B12, B10, P07, T03, B01, B11D, T07, P01, T05, P02D"
X
"B02D, T02, P07, T07, A07, A02D, P02, B11, P11D, P01, T05, A10, A08, T03, P12, A12, B12, B01, T10, A01, B04, T04, B10, P05"
"B01, T02, B10D, A12, P07, B11D, P11, B04, A01, B02, T03, P01, A07, P05, A10, A08, B12, T07, T10, P02, T05, P12D, T04, A02"
"T05, B11, P11, P05, B10, T07, B02, B04, P01, A10, P07, A08D, A02, B01, T10D, T04, A07, P02D, B12, A12, P12, A01, T03, T02"
X
"A10, B04, T03, P12D, P05, T02, A08, T10, A07, T05, A02D, B11, T07, B02D, A12, P11, B10, A01, P02, T04, P01, B12, P07, B01"
"A01, B12, P11D, T03, P07, A12D, B04, P12, A10, T05, B02, P01, A07, P05, T10, B10, P02, A02, T04, B11D, B01, T07, T02, A08"
"P01, T02D, B10, A07, T03, B12, B11, T07, P12, B01, T04, A08D, T05, A02, B02, P07, P11, T10D, P05, A10, P02, A01, A12, B04"
X
"T10, P05, P01, T07, A12, T05, P07, P02, A02, A08D, B10, A10, B11, B12, T02D, T04, B02, T03, A07, P11D, P12, B01, B04, A01"
"P11, T05, P01, B10, B02, T07, T02, A01, A10, T03, A08, T04, T10D, A07, B12, A02D, P05, B11, B01, B04, P02D, P12, A12, P07"
"T04, P01, T03, B12, B02, A10, P11, B11D, A02, A07, P02, P05, T02, P07, B01, T10, A12D, T07D, B10, A08, P12, A01, T05, B04"
X
"T02, B04, B11D, B02D, B10, P12, B12, A12, A01, T03, A08D, P07, A10, T05, T04, P01, A02, A07, B01, P02, P11, T07, T10, P05"
"B01, B12, B02, A07, T07, P11, B04, B10, A10, T03, A12, A08, A01, P01, B11, T05, P02D, P05, A02, T04, P12D, T02, T10D, P07"
"B10D, T03, B11, A07, B02, T10, T02D, A02, A08, P07, P05, A01, B12, P01, P11, P02, T07, T04, B04, B01, P12, A10, T05, A12D"
X
