"T03, B06, T08, B11, T11, P07, P12, P11, A12, T04, A07, B03, A02D, P03, A01, B12, B08, A09, P09D, P02, T09, B02, T12, A08D"
"T03, T11, P11, A07, B06D, B12, P03, A02, P09, T12, A09, B08, T04, A08, B03, T09, B02, T08D, A12, P12, P07, P02D, A01, B11"
"T03, P11, A09, A12, A02, P07, A08, B12, T04, T12, P12, P02, B02, T11, B03, B11D, A07, P09, B08, T08, B06, T09, P03D, A01D"
X
"T09, T12, B02D, A08D, A12, T04, T08, A09, T03, B12, A02, T11, P11, A01, A07, P02, P12, P03D, B11, B06, P07, B08, P09, B03"
"P07, T04, A01, B11, B03, T11, B02, A12, B06D, P09D, A02, T12, A07, B08, P11, P12, P02, T09, T03, A08, A09, P03, T08D, B12"
"B06, T11, B11D, A02, T08, P02D, P03, T04, A12, B08, B02, B12, A01D, T03, P09, B03, A08, P07, T09, T12, A07, P11, A09, P12"
X
"P07, B11, T08D, T03, B12, B08, T11D, P11, P03, B06, T04, A01, A08, P02, B02D, A12, B03, T12, A09, A02, P12, P09, T09, A07"
"T08, A09, A02, A07, T04, B12, B02, B06D, T03, P09, T09, B08, P07, P03D, A01, B11, P02, T11, B03, T12, A12, P11, A08D, P12"
"T03, A07, T09, B06, B03, T08, T04, B11D, T12, B12, P09, A12, B02, A08, A01D, A02, P11, A09, T11, P02D, P12, P03, P07, B08"
X
"T12, A01, A09, P09, B08, B11D, B12, A07, T03, P03D, P02, A12, T08, B02, P07, A08, T04, T11, P11, T09, P12, B06, A02D, B03"
"T03, P07, T08, B11, T09, A02, P09, T04, A07, B06D, P12, P11, P02, A09, B08, B02D, T12, B03, A01, A12, B12, P03, A08, T11D"
"A01D, T09, P11, B12, B03, T03, P12, A07, P03, T08D, B08, P02D, P09, B06, T12, A08, B11, T04, A09, B02, T11, A02, A12, P07"
X
"T09, A02, T04, T11, P09D, T08D, A08, A09, T12, P02, P11, T03, A12, B06D, A01, P07, B11, P03, B03, P12, A07, B02, B12, B08"
"B06, B12, P02, A08D, A01, T11, T09, B08, T12, A09, T08, A12, T04, B02, T03, B11D, A07, P03, P09, P12, P07, B03, P11, A02D"
"P07, A01, P02D, P12, P11, A08, B06, T09, T12, T04, B03, B12, T11, B11, T03, P03D, P09, B02D, T08, A07, A12, A02, B08, A09"
X
"T11D, P12, A09, P09D, B08, A12, P07, P11, T09D, A02, P02, T12, T03, A01, B11, B06, B12, B03, B02, A07, A08, T08, P03, T04"
"T03, A12, P02, A02, A01, T12, P11, P07, B12, B06, A08, T04, P12, B11D, A09, B02D, B03, P09, T09, T11, P03D, A07, B08, T08"
"B02, T12, T09, T11, P12, A07, B12, T04, B06D, T08, P02D, A12, A02D, P03, B08, T03, A09, A08, P11, P09, B03, B11, A01, P07"
X
"P11, A02, B11, B02, P07, A01, T03, B06, B08, P02D, P12, T08D, T09, P03, A07, B03, A08, T12, T11D, B12, A09, P09, A12, T04"
"A07, B02, P02, T04, T09, T11, B12, T03, T12, B11, P09, B03, A02D, P12, A08, A01D, A12, A09, T08, P03D, B08, P07, P11, B06"
"A07, P12, B06D, A08, T09D, T11, A09, T12, P03, T08, A12, B03, A01, B02, P09D, P07, A02, B08, P11, B12, T04, T03, P02, B11"
X
"B08, T08D, P02, T04, B06, T12, P07, T03, B02, B03, P09, A02, A01, P03, A09, T11, P11, A07, B11D, A08, A12, T09D, P12, B12"
"B08, A07, B11, T11, B12, P11, B03, A08D, P12, B02D, P07, P03, T04, A09, P02, A02, A12, T09, B06D, T03, A01, T08, T12, P09"
"B08, B02, B06, B12, B11, A08, T03, P07, T08, P03D, A12, A01, T09, T04, B03, P11, A07, T12, A02D, P12, T11, P02D, A09, P09"
X
"T04, B12, P09D, B06D, A01, P12, A12, T11, T03, B02, B08, T09, T08, A09, T12, P03, A07, A08, B03, A02, B11, P02D, P07, P11"
"B02D, A07, P09, P03, T03, A01, T11, B12, T04, T09D, A09, T12, T08, B08, B11, A08D, B06, A12, P02, B03, P07, P12, A02, P11"
"B12, A01, P07, A02D, T11D, B11D, A08, P12, P02, A09, B02, T12, T08, T09, B03, B08, P09, B06, A12, A07, P11, T03, T04, P03"
X
"B11D, P11, P07, T08, T11, B08, A07, A01, A12, T09, B03, B02, A09, A08, B12, P09D, P12, T04, P03, B06, T03, T12, P02D, A02"
"T04, P12, B08, T12, T11, B06D, B11, B02D, B03, A07, A01, P02, A02, P07, T09, T03, A08D, A09, P03, T08, P09, B12, P11, A12"
"T04, P09, A12, P12, T08, B02, P11, B06, T12, A08, P02, T09D, B03, A01D, A02, B12, B08, A09, B11, A07, P03, P07, T11D, T03"
X
