"T02, P12, T04, A11, A04, P03, B07, P06, B10, A01, B01, A09, A03, B12, T11, T03D, P07, T09, P11D, A07, B04, T12, P10D, B05"
"P04, T07, A08, P09, A02, B01, P06, P02, A11, B02, B11, T06, B08, B10D, T04D, T03, B07D, T08, P11, A01, A04, P10, T09, A10"
"P06, P11, B07, A05, T03, B01, T01, P01, A12, T09, T10, A04D, P10, A11D, T04, P08, B10, B09, T05, B03, B06, P05, A06, A01D"
X
"T03D, A01D, B12, P06, A03, B07, P03, A11, T02, A04, P11, T11, B10, T09, B01D, B05, B04, P10, P12, A07, T04, P07, T12, A09"
"B08, T03, A02, T08, T09, P09, T07, P02, P10, A04, T06, P11, P06, A10, B10, A08, A11D, B01, T04D, B07D, B11, A01, P04, B02"
"T09, B03, T10, P05, B07, A12, P11, B06, T03, P01, T04, A11, A06, A01, A05, P06D, T05, T01, B01, P08, B10, B09, A04D, P10D"
X
"A11D, T04, P07, T09D, T12, B07, P12, A07, B12, A09, B04, B10, T02, A01, P03, A03, T03D, T11, P06, A04, P11, B05, P10, B01"
"P09, P11, T03, A10, A02, T09, P10, B02, B10, A04, B08, B01, A11, P06D, B07D, P04, B11, T04D, T07, P02, A08, A01, T08, T06"
"A11, T03, A01D, P05, A05, A06, B01D, P08, P06, B03, B06, A12, T10, T05, P01, A04, B09, P11, T01, T04, T09, B10, B07, P10D"
X
"A09, B07, A04, P06D, B05, P10, B04, T11, P03, P07, T02, A07, B10D, A11, T04D, P12, A03, A01, T09, T03, P11, B01, T12, B12"
"A08, B07D, P04, B02, A10, P02, B01, A11, A01, T06, P06, T04, T08, A04D, T07, T09, P11D, B08, P10, A02, B11, B10, P09, T03"
"A12, B06, T09, B10, B01, P08, A05, T10, T01, B09, P10D, A01D, T03, P11, P06, B03, A06, P05, T05, B07, P01, T04, A11D, A04"
X
"B10, A11, P07, B07, P03, T02, T12, P11, T09D, A07, T04, A04D, A09, B05, P10, B01, P12, B04, P06, T03D, A01, A03, T11, B12"
"T03, A04, B10, P09, P11, B11, A11, B08, B01, P02, A08, T09, T04, P04, B07D, P06D, T08, A01, A02, B02, T06, A10, P10D, T07"
"P01, B01D, T05, P10, T09, T01, A04, A05, P11D, B07, A01, T10, P06, T04, A06, A12, B03, B10, B06, A11D, B09, T03, P08, P05"
X
"B10D, A03, B04, T04, A01, P12, P03, B12, B05, T02, A07, T09D, A11, A09, P10, A04, B01, B07, T03, P07, T11, P06D, P11, T12"
"B08, B07, P04, A04D, B11, T04, T07, A08, B02, A01D, T08, P02, B10, T06, P11D, P10, T03, P06, P09, B01, A10, A02, A11, T09"
"P10, P11, P05, T10, T05, P08, B01, T09, B06, A06, A01, B10, A04, T04D, B09, T01, T03, B07D, B03, A11D, A12, P01, A05, P06"
X
"P12, T12, B04, P07, B07, T02, T11, B10, T03D, P11D, T04, A07, B12, A04, A03, A09, B01, P03, P06, A11D, T09, P10, A01, B05"
"T08, P10D, A11, T06, A10, B08, P06, B01D, B02, B11, B10, P02, P09, P11, T09, A08, T04, A02, B07, T07, T03, P04, A04D, A01"
"T03, P06, A06, T05, B03, A01, P01, A11, B10, B09, T09D, B07D, A12, P08, T01, P11, A04, A05, T04D, P10, B06, P05, T10, B01"
X
"A11, B01, T12, P10, A03, P12, A09, P03, T11, P07, T09, A04D, B07, B12, B04, T04, T02, B05, P11, A01, A07, P06, T03D, B10D"
"A11, A01, T08, T09, A02, A04, A10, P06, B02, B07, P04, T04D, T03, P09, A08, P02, B10, B11, B08, T06, P11, T07, P10D, B01D"
"A06, A11D, A12, T09, B06, A04, P10, T05, T04, P08, T01, P06D, A05, P05, B07D, B03, A01, T03, B01, P11, T10, P01, B10, B09"
X
"B01D, T09, P11, B05, P12, A07, P06, T11, B10D, A01, B04, P10, T03, T12, A09, B12, T04, P03, A04, T02, A11, P07, A03, B07D"
"P09, B10, T06, T04, P06, T03D, A11D, P02, A08, B07, P04, T08, B02, T07, P11, B01, A04, B11, P10, A01, T09D, B08, A10, A02"
"B07, T03, T10, B03, P11D, B01, T09, A11, A04, A05, P06D, T04D, A01, A12, P08, P01, B06, B10, T01, P05, P10, T05, A06, B09"
X
"A07, A04, P12, T12, B12, P10D, B10, B04, T04, A09, T02, P03, T09D, T03, A11D, T11, A03, A01, B01, P07, B05, P06, B07, P11"
"T07, A02, B01, P10, A08, A11, B08, P02, A10, B07, T09, B10, T06, A01, P06D, A04D, P09, P04, P11, T08, T03, B11, T04D, B02"
"B09, A01D, T10, B06, B03, A11, P08, A12, T01, T05, T04, P10, B07, B01D, T03, B10D, A06, P06, P11, P01, T09, P05, A04, A05"
X
