"B10, P11, P01, B05, T09, P08, P09, P05, B12, T10D, A06, A03, B01, T08, T04, A11, B03, P04D, A04, A07, T11, A09D, B07, T01"
"T12, T10, P04, A11, T06, P10, B03, T03, P12, P11D, B04, P01, T11D, B02, A02, A05, A03, A01, A09, P02, B07D, B06, B01, T09"
"B11, T11, A10, P03, A12, A08, T02, A11, B01, B03D, P01D, B09, P11, P04, T09, T10, A03D, P06, T05, P07, B07, B08, A09, T07"
X
"B10, P01, A09, T01, A06, B01D, P11, A03D, T04, P08, B05, T11, A04, P04, P09, T08, P05, B12, T09D, B03, T10, B07, A07, A11"
"P02, T10, A09D, T11, T12, T03, B07, P01D, A11, B01, A01, P11, B02, A03, B03, P10, B04, P12, T06, P04D, B06, A02, T09, A05"
"A11D, P07, T11, A03, B11, A10, A08, A09, P03, T07, B09, T10D, B07, P01, B08, B03, B01, T05, T02, T09, P11D, A12, P06, P04"
X
"T10D, B01D, B05, A11, T08, A03, A07, P01, A09, P09, B12, A04, A06, P11, B03, P04, T11, P08, B07D, P05, T09, T01, B10, T04"
"T10, P02, A11D, A01, P04, B04, T11D, P01, A03, B03, B07, A02, B01, P10, T03, A05, P12, T06, T12, B02, P11, T09D, B06, A09"
"P07, P04D, A10, B11, T05, A11, B03, T09, B07, A12, P01D, B08, A09D, A03, B01, A08, B09, P03, T11, T10, P06, P11, T07, T02"
X
"T04, P09, P05, B10, A07, B01D, A09, P08, P11, A11D, T10, T01, T11, P01, P04, A03, B03, B07, A06, A04, B05, B12, T08, T09D"
"A03, B01, T10, T03, B03, B07, P11, A09D, B04, A02, A11, B06, B02, P04D, A05, P02, P01, P12, T11D, P10, A01, T06, T12, T09"
"A08, A10, B07D, T07, T10D, T02, P01, T11, P04, A12, P03, P07, B11, A03D, A09, B09, A11, T09, P11, B08, B01, P06, T05, B03"
X
"P05, T08, T09, P11, P01D, B03, T10, A09, A06, A07, B10, T11D, B05, B12, P08, A11, B07, T04, P04, P09, A04, B01D, T01, A03"
"A01, B06, A03, A02, A11, B03D, T03, B02, B07, B01, P02, A05, T09D, P01, P10, T12, T10, P04D, P11, P12, T11, T06, A09, B04"
"P11D, T09, P06, A09, T02, T11, B01, B11, P03, A08, P01, T05, T07, P04, A03, B09, A10, B07, P07, B03, T10D, A12, B08, A11D"
X
"T10, T04, B12, T01, B01, P08, A11, B07, T09, T08, P11, A04, P05, T11, B10, P09, A06, A07, A03, B05, A09, P04D, P01D, B03D"
"B02, B01, P12, T03, A01, A11, P04, T10D, T06, B06, T09, P01, B03, T11D, P02, A02, T12, A09D, B04, P10, A03, A05, P11, B07"
"T11, P03, T05, P04, A11, B09, A09, P06, P01, T10, B11, T07, A12, A08, B08, A03D, B01, A10, P07, T02, P11D, B07D, T09, B03"
X
"T08, B05, B03D, T09, A07, P09, T04, P08, B01, A09, T11D, B12, P11, B07, P05, P04, A03D, B10, A06, T01, A04, T10, A11, P01"
"P11, A09D, B04, B03, P10, P01D, B01, P04D, T11, P02, A03, T03, B02, T06, A01, B06, A11, T10, B07, A05, A02, T12, P12, T09"
"P01, B07, P04, P06, P11D, A09, T07, T09, A11D, A10, B11, T10D, B09, P03, A08, T11, T05, P07, B03, T02, A12, A03, B01, B08"
X
"A03, T01, B03, T10, A07, B10, T08, T11D, P05, P01, B01, B05, P09, A06, P11, T04, B07D, P08, B12, A11D, T09, A09, P04, A04"
"T10D, T03, A05, B02, A01, B07, P04, B01, A03, A11, B04, T09D, P01, B03, A09D, T12, P10, A02, P12, B06, T11, P11, P02, T06"
"B01, A08, T09, T05, B11, P03, P04, A09, B03D, T11, A03, A12, P01D, A10, T07, P07, B07, B09, T10, B08, A11, T02, P06, P11D"
X
"P01, T11, A07, P11, B05, T10D, P08, T01, P09, B10, B07D, A04, T08, P04, B12, A03, B01, A09, T04, T09, A06, B03, P05, A11D"
"T06, T11, A09, B04, P04, B03, P02, P12, P01D, A02, B02, A03D, B01, T03, T12, P10, B07, P11, A01, A11, A05, T10, T09D, B06"
"T09, P01, B08, B03, T07, T05, B07, T10, T02, A10, A08, B01D, P06, P11, B09, B11, A12, A03, A11, P07, T11D, A09D, P03, P04"
X
"A09, A04, P09, P04, P05, B03, P08, T11, A07, T10, A06, B10, T01, B05, B01, B12, P01, A03D, T09, B07D, P11D, A11, T08, T04"
"B04, P04D, P01, B01, A01, A03, T03, B06, P11, B02, B03, P10, A05, T12, B07, T09D, T10D, P02, T06, T11, A11, A09, A02, P12"
"P03, P11, B03, B01, T05, A11D, B08, P01D, B09, B07, P07, T09, T10, A12, T07, A03, P06, A09, T11D, B11, A10, A08, T02, P04"
X
