"A05D, B03, P12, T06, B12, A07, P04, P03, B07, B05, P08, T12, P09, B11, P07, A04, T02, T09D, T01, A09, T07, B02, A01, A02D"
"A01D, B05D, P12, A05, A08, B03D, P04, T10, B10, P08, P11, T02, B09, T03, B01, A06, B07, T09, P06, T08, A10, P01, T01, A02"
"A05, A03, P04, T01D, P05, P02, A12, A01, B03, T02, B04, T05, P08, T04, B08, B07D, P12D, A11, P10, B05, T09, A02, T11, B06"
X
"T02, A09, P07, A02, P03, T09D, P09, B12, A05, A01, A07, P08, B02, A04, T07, B07, T06, B03, P12, P04D, T01D, T12, B05, B11"
"T08, A06, A10, B01, A01D, T03, B10, A02D, P11, B07, A08, T10, P08, B09, B05, P04, P06, B03, P01, P12D, T09, A05, T02, T01"
"P02, B06, P04, T05, T11, B08, T02D, T04, A05, A01, A11, B05D, A02, T01, P05, B04, B07D, P10, A03, A12, T09, P08, B03, P12"
X
"A07, A09, T12, B03D, T09, B11, T01, B02, B05, T02D, B12, T07, A01, A04, P09, P07, P04, A02, B07, A05D, P12, P03, T06, P08"
"T08, A06, T10, B03, A08, T02, P08, B10, A05, B09, T09, P11, P12, T01D, A02, A01D, P04, P01, P06, B07, T03, A10, B01, B05D"
"T11, B07D, T01, P12D, A11, B06, T02, P10, A01, B05, P04, B04, A05, P08D, T09, T04, A02, B08, P05, A12, T05, A03, P02, B03"
X
"B11, A09, T02, P07, B05, T09, B03D, T07, B02, B12, P03, P09, T06, P04, P12, A04, T01D, T12, A07, P08, A02, A05D, B07, A01"
"P12, T02D, T10, B01, B10, B07D, P08, T01, T03, P11, P01, P06, A05, T08, B03, A06, P04, B05, A08, A02D, T09, B09, A01, A10"
"P12D, B04, A12, P02, T02, A02, B05, T01, P05, B08, B06, T05, T04, A11, A01D, B07, P10, A03, T11, B03, T09D, A05, P08, P04"
X
"P12, B11, P09, A02D, T09, P04, A05, B02, T01, T12, P07, B07, B05D, A07, A09, B03D, P03, T02, B12, A04, A01, P08, T07, T06"
"P04, P08D, T01D, P01, P11, T09, T08, A08, T02, A05D, A01, B10, B07, T03, A06, T10, B03, A02, P06, B09, A10, B01, P12, B05"
"A01D, B05, A03, P12, B03, T09, P02, T04, P04, B07D, A02, A12, T01, T11, A11, B08, B04, T05, P10, P08, P05, B06, T02D, A05"
X
"A04, B12, P03, T02, T09, P09, B03D, T01, A02, A09, A01, A05, P07, B07, T06, P04D, B05D, P08, B11, P12, T07, A07, B02, T12"
"P12, T10, T03, P06, A02D, A10, T08, T02, B07, B10, T09D, A05, A06, T01, P11, A01D, P01, P04, A08, B09, P08, B03, B05, B01"
"A12, T11, B06, T04, B03, P02, A02, P10, A03, T05, T09, B05, A05D, A11, B04, B08, T01, P08, A01, P04, T02D, B07D, P05, P12"
X
"A04, T12, T09, B05, P12, A05D, P09, T02, B07, T07, B02, T06, A07, T01D, B03, A01, A02, P07, A09, B12, P08, P03, P04D, B11"
"B07, A06, A08, B10, T03, P11, T01, T02, T10, B01, A02, B05, P01, P12D, P06, P04, B09, P08D, A10, T09D, A01, A05, B03, T08"
"B05D, P04, P10, A11, P12, T01, P05, T02, P02, A01, B04, A03, B07, A12, P08, B06, T09, B03D, T05, A02D, A05, T11, T04, B08"
X
"A07, T12, P04D, A09, T07, A05D, P08, T02, T06, B02, A04, P07, P03, B07, B03, T01, B05, P12D, P09, B12, T09, A01, A02, B11"
"T08, B01, B10, T03, A06, T01, P12, P04, B03, P08D, T09D, A08, A01D, B05, P01, A02, B07, A10, A05, T10, P11, T02, B09, P06"
"T11, B08, T01D, B04, T02, T09, P08, P12, T05, P05, A05, B03, A02D, T04, P04, P10, P02, A03, B06, B05D, A12, A11, B07, A01"
X
"T09, A07, B11, B03D, P12, T01, T02D, A01, T06, A09, P03, B07, P04, P09, A04, B12, T07, T12, A05, B05, A02, P07, B02, P08D"
"P01, B05D, P08, A06, B03, T03, T01D, T10, T09, A08, B09, A02, B10, P11, A05D, B01, T08, P12, A10, P04, A01, P06, B07, T02"
"B04, T01, A03, B05, B07, T05, P10, A05, A11, P08, T09D, A01D, A12, P02, A02, P12D, T04, T02, B08, P05, B03, T11, B06, P04"
X
"P09, P07, T02D, T09, A04, A07, B05D, A02, B02, B11, P08, P04, A01, B03, B12, P12, T12, T07, T01, A05D, B07, P03, A09, T06"
"A06, B09, T08, T01, P08, T09, P01, P04, A10, B01, P06, A02D, B10, A08, B07, A05, T03, T10, B05, B03D, A01, T02, P12D, P11"
"P04, A12, T04, A05, T11, A11, B07D, B04, A01D, T09, A02, P12, A03, P05, B03, P10, T05, B08, P02, B05, T02, T01D, P08, B06"
X
