"P01D, T02, A03, A09, A12, A10, B12, T11, B03, A05D, T05, B05, A08, B04, P07, T10, P09, B07, B08, P11, P08, P02, T07D, T04"
"T10, T12, B06, P02D, T07, B07, P03, B03, B09, P11D, A03D, T08, P12, T05, A06, A11, B12, B02, P10, A05, A02, T03, A09, P01"
"P11, A04, T01, A09, T10D, A03, B07, P01, B10, A01, T07, B12D, T05, B11, T06, P06, P02, P05, A05, A07, T09, B01, P04, B03D"
X
"T11, A12, P08, A10, A08, B05, T10, A05, B08, P07, P09, T02, T07, B04, P02, P01D, B12D, P11D, A09, T04, B07, B03, A03, T05"
"B12, B06, T12, P12, T07D, A05, A03, P02, B03, P10, B09, P01, P11, A02, T10D, T03, B02, A11, A09D, B07, T05, T08, P03, A06"
"A01, P04, P05, B01, T09, B10, T10, T06, A04, P11, P02, B07, B12, B03, A07, B11, T05D, P01, A03D, A09, T01, T07, P06, A05D"
X
"B08, P01, P08, A08, B03D, T07, T02, P09, A12, T11, B04, T05, A10, A03D, T10, P02, A05, P07, B07D, P11, B12, B05, T04, A09"
"T03, T05, B06, T08, B09, P11D, P10, T07D, P01, T10, A02, P12, P03, B12, B02, A09D, A05, A03, T12, A11, P02, A06, B03, B07"
"A09, A07, P01D, P02, T09, B01, A03, A05, B10, A04, T06, P11, B03, A01, P06, T05, T07, T10D, T01, B07, B11, P05, B12D, P04"
X
"T11, T10, A09, P01, P08, B12D, T07, B03, A10, A05, T04, T05D, P09, B05, P02, B08, A08, B07, T02, A03, B04, P11D, P07, A12"
"T10D, T03, T05, B06, A05D, A02, A06, A09, P02D, B03, P01, B07, P12, T07, P11, P03, B12, P10, A11, T08, B09, B02, T12, A03"
"A01, P04, B12, P06, P11, B10, A07, T09, B03, P01D, T10, A09D, B11, T01, P05, A05, B01, T06, B07, T07, P02, A03D, A04, T05"
X
"A10, B12, A08, P09, P11D, T07, P08, A03, T11, P01, P07, P02D, A12, T04, A09, T02, T05, B05, B07, B03, B04, A05, T10D, B08"
"B03, B09, T03, A06, P10, P12, P03, B12, B06, T05D, A11, A05, P11, A02, T12, A09D, T07, B07D, T08, A03, P02, P01, B02, T10"
"A05, P01D, T10, A09, A03D, T05, B11, B03, A07, T09, A04, P02, T06, P04, P06, B10, T01, T07, A01, P05, B01, B12D, B07, P11"
X
"T05, T04, T11, B12, A09D, T07, P07, P08, B05, P09, A05, B08, A12, T02, A10, A03, B07D, P01, P02D, A08, T10, B03, P11, B04"
"P10, A06, A09, B03D, A05, T12, T08, T05D, T03, A02, P11, P03, B09, B02, T07, T10, A11, B12D, B07, A03, P12, B06, P01, P02"
"P06, T05, A03, B11, A05, P11D, P04, P05, T10, T07D, T06, A01, B03, T09, A04, T01, A09, B01, P01D, A07, B07, B12, B10, P02"
X
"T04, B08, A05D, A08, T02, A03, P01D, T07D, P11, B03, T10, A12, P08, B05, P07, A10, B04, B07, A09, T05, B12, P09, T11, P02"
"B12, P02, T03, B03, T10D, P10, T07, T05D, A05, T08, B02, P01, B09, A02, P11, A11, B07, P03, A03, A06, P12, B06, T12, A09D"
"T07, A07, P04, P02, T05, A09, T01, P01, B07, B01, T10, A01, B03, A05, B12D, B11, P11D, T06, A03D, A04, T09, P05, B10, P06"
X
"P08, B04, T05, A05D, B07D, B03, A12, B12, A08, P01, A10, A03, A09, T11, P02, P09, T10, B05, B08, P07, T02, P11, T04, T07D"
"P03, B06, T07, B07, T03, T12, A03, B09, B02, T08, A06, P01, P11, B12, P10, A02, B03, T05D, P12, A09D, T10D, A05, P02, A11"
"T01, T06, B07, B03D, P11, T10, B12D, P06, B01, B11, A04, A05, A01, A09, T09, P05, A07, T07, T05, B10, P01D, P02, A03, P04"
X
"A12, B05, T07, B12, P01D, A03, T04, A09D, P02, P11, B04, P08, A05D, T05, B03, A10, P07, T02, A08, B07, P09, T11, T10, B08"
"P02D, P11, A06, P03, P12, P10, A05, A03, T08, A11, B02, B06, B07D, T05D, T10, T07, P01, B12, B03, A09, T03, A02, B09, T12"
"P11, A09, T06, P05, A03D, B07, B01, A04, T05, B12D, P02, P04, T10, P01, P06, A07, B03, T07D, T09, A05, B11, B10, T01, A01"
X
"A08, B03, B12, P01D, T10, P09, P07, T04, A10, A12, P11, T02, P08, A09, T11, T05, B04, A03D, B08, T07, A05, B07D, B05, P02"
"T08, P01, A09, A11, T03, P03, T07D, B02, A05, B03, B09, T05, A03, P10, T10D, B07, P02, A02, B06, B12, T12, P12, A06, P11D"
"A05, A09D, B12D, T05, P05, B07, T09, T07, P06, B11, T01, A03, A07, A01, B01, P01, P04, T06, P02D, T10, A04, B10, P11, B03"
X
