"B03, T09, P09, T01, P03, A08, T03, T04, B05, P04, A09, P01, B10, B06, A11, P06, B12, T10D, A07, P05, A12, A03D, B02, T12D"
"P05D, P10, A03, B05, A06, P01, T10, T02, P02, T06, A02, T04, B12, T12, A05, P04D, B11, A12, A11D, T11, B07, B10, B09, P11"
"T08, T10, A11, P07, B04, P08, A04, A01, P12, A12, A03, A10, B05D, P04, B10D, T07, P05, T05, B01, B08, B12, T04D, P01, T12"
X
"B06, A07, B02, P06, T01, T09, A12, A11, B03, B12, T03, T04D, A09, T10, B10, T12D, P09, A08, P03, P01, P04, A03, P05, B05D"
"T12, A05, P11, B09, B12, P02, T10D, A12, P10, B07, T11, B05, B10D, P04, A02, T04, P01, T06, B11, A06, P05, T02, A03, A11D"
"T10, T05, B01, B04, P01, T04, B05, B12, P08, P07, A04, P12, T08, T07, A10, B08, P04D, P05D, A11, T12, A12D, A01, A03, B10"
X
"B02, A03D, T03, B10, A08, B05, A07, P05, P01, T09, B12, T12D, A11, A12, A09, B03, T10, P03, P04, T04D, P09, P06, T01, B06"
"A03, P10, P05D, T06, T04, T02, A05, A11, B07, P01, A06, T12, P11, A02, T10, B05, B10, T11, B12D, B11, B09, P04D, A12, P02"
"T08, T07, A04, T12, B04, B05D, B12, P05, A10, B01, A11D, A12, B08, P08, A03, T10D, B10, A01, P01, P07, T05, P12, P04, T04"
X
"A07, T10, T09, T04, B12, P09, T03, P06, A08, A11D, T12D, A03, A09, T01, P05D, B03, B10, A12, P01, B02, B05, P03, P04, B06"
"P11, T04, B12D, P02, T02, A05, P05, A02, A12, A06, B05, B09, B07, T06, A03, A11, B10, T10, P10, B11, P01D, T11, P04D, T12"
"P12, T08, T07, A04, T04D, A01, B04, A10, P04, P08, B10, B01, A12D, B12, T10D, A11, T05, B05, P01, B08, P05, T12, A03, P07"
X
"B12, P01D, T09, A03, B06, T12, A11, T10, P06, B03, T04D, B10, T03, A09, P03, A07, B05D, A12, A08, P04, B02, T01, P09, P05"
"P05D, P10, P11, B05, A05, B09, A06, T04, P02, P01, T06, B10, T10, A02, T02, B07, A12, A03, B12, B11, A11D, P04D, T11, T12"
"P01, A10, P04, P05, P08, A03, B01, P07, T10D, A01, A12, B10D, B04, T12, T04, T08, T07, P12, A04, A11, B05, B12D, B08, T05"
X
"B02, T01, A08, B12, T09, T04, P09, P01, B10, B05, B06, A12, P05D, T03, P03, A11, B03, A09, P04, T10D, P06, T12D, A07, A03"
"T12, T06, T02, P05, P01D, A06, B09, P11, A03, A12, A11, A05, P02, B11, T10, T04, P04D, P10, B05, A02, B12, B10D, B07, T11"
"A11D, A03, T12, B12D, B05, A04, T05, T10, B10, P08, T04, A10, A12D, A01, P05, T08, B04, P04, B01, P01, P12, T07, B08, P07"
X
"A11D, T04, A03, A07, B12, P06, B06, T10D, A08, B05D, B02, T12, P04, P03, B10, T09, T03, P05, T01, B03, P01, A12, A09, P09"
"P01, P05, A06, B12, P10, T02, T10, B09, B05, A05, P11, T12, B07, P02, A11, A03D, A02, A12, P04D, B10D, T04, T06, T11, B11"
"T08, T05, P01D, B12D, P08, A03, P12, B08, B05, A10, A12, P04, B01, T12D, B04, P05, A04, T07, A01, P07, B10, A11, T10, T04"
X
"T04, P06, P01D, P09, T12D, A03, T10, B05, A07, B12, B03, T01, A11, A08, P05, T09, B10, B06, T03, A12, P03, P04D, B02, A09"
"B11, B05, T06, A06, P04, P01, P11, T10D, A03D, T12, T11, T04, A11, B09, A02, A12, B12, P05, A05, T02, P10, P02, B07, B10D"
"P01, A03, T12, P08, B12D, A11D, A12, A10, B04, T08, B01, P07, B05, T10, B10, T04, P04, A01, T05, T07, A04, P05D, B08, P12"
X
"A08, B10, P09, T04, A12D, P05, T03, A03D, B05, P06, P03, P01, A09, T12, B03, A07, A11D, B02, P04, T01, T10, B06, B12, T09"
"T11, A03, B11, B07, B09, T12, A05, T02, P01D, A06, T04, T10, A12, B12, B10, P05D, P02, B05, P11, T06, A11, P10, P04D, A02"
"T04D, B10D, B01, P07, B05D, T05, A03, A01, P12, A12, T07, B04, P04, A10, A11, T12, A04, P05, P08, T10, B12, P01, B08, T08"
X
"A08, B10, T09, P09, A09, B12, A12, P06, B05D, B06, P03, P05D, A07, P04, T12, A11, P01, A03, B02, T03, B03, T01, T04D, T10"
"A03, B11, A05, B12, T02, P05, B07, P04, P02, A12, B09, A06, B05, B10D, T12, T06, T04, T10D, A11, P01D, T11, P10, A02, P11"
"P05, A01, T12D, T10, P07, A11D, B05, B08, T07, T05, B10, B04, P12, P08, T08, P01, P04, B01, B12D, A04, A03, T04, A12, A10"
X
