"A05, B01, B05, P01, P10D, T08, T06, T05, T07, A02, A10, A09, B02D, P08, A11, B04, B06, P06, B07, T12, P09, A12, T09D, P05"
"T09, A02D, B07, T07, A06, A08, P12, A03, B09, P06, A12, P03, T11, T06D, P10, T01, P04, B08, B02, B06D, T02, P01, B10, A11"
"P10, P02, A04, B12, B02, T07D, A02, P06, T10, P01D, B07, A12, A11D, T03, P07, B11, P11, T09, B06, T06, B03, T04, A01, A07"
X
"B05, B07, T09D, A11D, T12, P10, B02, P09, P05, B01, P06, P01D, P08, A02, T05, B06, A09, T06, A05, B04, A10, A12, T08, T07"
"T07, T06, T09, T01, P10, A08, A11, T02, A03, B09, P06D, B07, P12, A12D, T11, A02D, B08, P03, P04, B06, A06, B10, P01, B02"
"B02D, A11, A12, A07, P06, B03, B12, B06, A01, T07, P07, P11, P01, P02, A02, T03, B11, P10, B07D, T09, T10, A04, T04, T06D"
X
"T05, P06D, P09, B01, P08, B04, B02, T08, A09, A10, B07D, A11, T07, A02, B05, P01, P10D, T06, B06, A05, T09, P05, A12, T12"
"A03, B09, T01, B07, P04, B02, T07D, P12, A06, P01, T06, A12D, A08, T09, P10, T02, P03, P06, B06, A11, T11, A02D, B08, B10"
"A01, T07, T04, A04, B03, P07, P10, P01D, B06, A02, B07, T06, A07, A11, T03, B02D, P02, T10, A12, B11, B12, P11, P06, T09D"
X
"P06, T08, P01D, A11, A10, P10, T07, T05, A05, B07, T12, P05, B02D, A09, B04, A12D, T09, B06, A02, B05, P09, B01, P08, T06"
"B06, B10, A02, B09, A03, T06D, T09, A06, P01, P12, T07, A08, P10, P04, T11, T01, P06D, P03, A11, A12, B08, B07D, B02, T02"
"A01, P02, B12, A12, B07, T04, P10D, P06, T07, T10, B03, A04, A11, T03, B06, P01, B02, A07, A02D, P11, B11, T09D, T06, P07"
X
"B06, A09, T06, B05, T09, B02D, B07, A10, B04, P05, P09, T08, A11, T05, P01D, T07, A02, A05, A12D, B01, P08, P06, P10, T12"
"B09, B06, B02, T11, A12, P10D, A08, T02, T06, T01, P04, P03, P06, A06, A11, A02D, T09, B07, P12, P01, B10, B08, A03, T07D"
"A01, P01, P10, T06, B11, P06D, B07, T04, P02, A12, B03, A11, B06D, A07, T10, T07, T09D, B12, P07, B02, T03, A02, A04, P11"
X
"T05, B07, P10, T07, T06D, B06, A12D, A02, A11D, T12, P05, P08, B04, A05, B02, P09, A09, P01, A10, T09, P06, B05, T08, B01"
"B09, T07, P04, P06D, A02, T02, A12, B02D, A11, P03, T06, A06, A03, T11, B06, T01, T09D, P01, B07, P12, A08, B08, B10, P10"
"P07, P06, T09, P11, T10, A11, P02, B11, B07D, T06, B02, T07, A01, A07, A02D, B06, T04, T03, P10, P01D, B12, B03, A12, A04"
X
"A12, P05, T06D, A09, P01, T09D, B01, A10, T08, B02, B04, P10, A02, P08, A11, P06, B05, B06, T07D, T12, A05, B07, T05, P09"
"P01D, A02, A12D, P10D, T02, B10, B06, P12, A11, P03, A03, P06, T09, T01, T11, B02, B08, T07, P04, A08, B07, A06, T06, B09"
"B12, A07, P02, P06, P10, A02, B02D, P01, T06, B11, P11, P07, T10, T03, B03, A04, T07, T09, A01, A11D, B07, B06D, A12, T04"
X
"B06D, P05, B07D, A10, B02, P09, P08, A09, A12, T08, P06, A02, B05, B01, T07D, A05, T12, T05, P01, T06, P10, A11, T09, B04"
"A03, A08, B09, P03, P01D, B08, B10, T01, P04, A02, T02, T07, A06, P12, B07, T06, A11, B06, B02, A12D, T11, T09, P10D, P06"
"T09D, A07, P10, B06, T10, A04, T06D, P07, T07, T03, A01, B11, B03, T04, P11, B12, A02D, A12, A11, B02, B07, P01, P06, P02"
X
"T07, P10D, A09, A11, A05, P09, T09, T08, P08, B01, A12, P05, P01D, B07, B02, A10, B05, B06, P06D, B04, T12, T06, T05, A02"
"A08, T01, P04, T06, P01, T02, B09, B02D, P06, P12, A06, T11, T07, B06, T09D, B10, B08, A11D, P10, B07, A02, P03, A03, A12"
"A02D, T07D, T06, B02, B11, T03, P01, B07, P07, A07, B06, P11, A11, P06, P02, A04, T04, P10, T10, B03, A12D, A01, B12, T09"
X
"T09, A12, P06, P09, B04, B05, A02, T05, T06, B01, A10, A11D, P08, A09, T07, B06, A05, T08, B02, B07, P05, P10D, P01D, T12"
"P12, P03, A06, T11, T02, T07, B02, B09, B10, P04, A11, B06D, A08, A03, A02D, B07, T09, P06, P01, T01, B08, P10, T06D, A12"
"T10, T03, A07, B02, A01, B07D, P06, P01, A02, P10, B03, T07D, A04, T04, A12, T06, T09D, P11, B11, A11, P07, P02, B06, B12"
X
