"P02, P09, P03, B02, A11, P05D, B04, A02, T11, T07, P11D, T08, A03, B05, A06D, T10, B09, A07, T09, T06, A09, B07, P08, B10"
"T10, B04D, P05, A08, B12, P07, A04, T05, T11, B06, A07, B10, B07D, T06, P12, A06, B01, A11D, P10, T04, A01, T03, P02, P11"
"P05, A07, B08, T12, P04, A10, A11, B04, A05, T10, A06, P06, P11, B07, P02D, B03, T01, T02, T06D, B11, P01, A12, T11, B10D"
X
"A09, A06, T11, T10, T07, P11D, P02, A11, P05, B02, B09, P03, T06, P08, A07, B10, B07D, T08, B04D, B05, A03, P09, T09, A02"
"A11, B10D, B04, T06, A08, P11, T11, P05, A04, B12, T10, T05, P07, A06D, P10, T04, B07, B01, T03, P02D, P12, A07, A01, B06"
"A05, B07, T10D, A12, A07D, P11, B08, T12, P01, T06D, A10, P06, B11, B10, T11, P05, B03, B04, P04, A06, T02, P02, T01, A11"
X
"B02, P11D, P09, B05, B09, A09, P05D, P02, T11, A03, A07, P08, T07, B07D, A11, A02, T06, T09, T10, B04, A06, P03, B10, T08"
"T03, P12, P05, A06, B01, B10, T05, B06, T06D, P11, P10, P07, T04, A07D, B04D, B07, A04, P02, A08, A11, T10, B12, T11, A01"
"P05, A12, P11, A11, T11, T12, T10D, A07, B11, A05, A10, B10D, B04, P04, T06, B07, B08, A06D, B03, P01, T01, T02, P02, P06"
X
"B02, T07, B05, P09, T08, A06, B04D, B10, T11, P05D, B09, P02, T06, P03, T10, T09, B07D, A02, P08, A03, A07, A11, P11, A09"
"P11, T10, T06D, P07, B01, P02D, A08, B12, A07, A01, A04, B04, B06, T11, P05, T04, A06, B10D, T05, P12, B07, A11, P10, T03"
"P04, A05, A12, P05, A11D, T10, T01, B10, B11, B03, P01, T06, B08, B04, T12, P06, P02, T02, B07, A10, A07, P11D, T11, A06D"
X
"P05, A03, P09, B07, B05, A11, A02, B02, P11D, B04D, P08, B10D, P03, A07, A09, T06, T10, T11, T09, P02, T07, T08, A06, B09"
"A04, B01, B12, P02, P07, T10D, T03, T05, A07, T11, B06, P05D, A11, A06D, T06, B07, P10, P11, B10, A08, B04, P12, A01, T04"
"B04, A10, P04, B07D, P05, P02, P01, A12, B03, A07D, P06, T10, T02, B08, T06, A11, T01, T12, B11, B10, A06, P11, A05, T11D"
X
"B04D, T07, A06, A09, A02, T08, P02, T06, P09, B05, P11, A07D, B07D, T11, A11, A03, T09, T10, B02, B10, P03, B09, P08, P05"
"B12, P02D, T11, T06, A06, A07, A11, T10, T03, B04, T04, B10D, B01, P05, P11D, P07, B06, P12, A01, P10, A04, T05, B07, A08"
"B03, B08, A06D, B10, A05, P05D, A07, B04, P04, P11, B07, T02, P06, T12, T11D, T06, T01, A10, A12, B11, P02, T10, P01, A11"
X
"A06D, P05, A02, A07, P03, T11, T10, P09, A11, B05, B09, P02, T08, T09, B10, T06D, P11, B02, P08, B07D, A09, A03, B04, T07"
"B12, A04, B06, P10, A01, P05, T11, P12, B10, B04D, T04, T06, P02D, A11, B01, P11D, B07, A08, A07, P07, T10, T03, T05, A06"
"P05, P11, A07, B08, B07, T12, T06, P02, A06, T10D, A11D, B03, P06, T01, P01, T02, B04, B11, A12, T11, A10, P04, A05, B10D"
X
"T06, A09, A02, T08, P02, T10, B09, T09, B10, A07, T11, P03, A06, P11, A03, B04D, P05D, P08, B05, A11D, P09, B07, B02, T07"
"T05, A01, A06, P02D, P10, T04, A11, T06D, T10D, A04, B07, B01, A08, B06, T11, B04, P11, B10, B12, P07, P12, A07, P05, T03"
"A10, A07D, A06, T02, B03, P05, T01, B08, P04, A11, T10, P02, T12, T06, B04, T11D, B10, P06, P11, A12, B11, A05, B07D, P01"
X
"B10, A09, B09, T10D, B04, P03, A11, T07, B07D, A02, P11, P05, P09, P02, T11, B02, T06D, A06, B05, T08, P08, A07, T09, A03"
"A01, T05, P07, P12, P02, B07, B04, A08, A04, T11, B10, B06, B01, T04, T10, T03, P10, A11, B12, T06, A07D, P05, P11D, A06D"
"A12, A05, B07, B08, A11D, A10, P11, A06, T11, A07, T10, B03, B04D, B11, T12, T06, P04, P01, T01, B10D, P05, P06, P02, T02"
X
"P09, B04, B05, A02, B09, P05D, P08, T11, P02, A03, P03, T08, B10, B02, A07D, P11, A11, A06, A09, T07, B07, T10D, T06, T09"
"A07, B12, T04, B06, T10, P02, A01, A08, P11D, T05, B04, P05, B10, P10, A06D, B01, A04, P12, T11, P07, T06, B07D, A11, T03"
"P01, B03, P02, B08, A07, A12, T01, T10, B10D, P06, P05, T12, T11, B04D, T02, A06, P04, T06, B07, A11D, A10, B11, A05, P11"
X
