"B03D, P02, B07, P10, A07, A05, T03, P08, P05, A04, P09, A01, T09, T12, P12, A02D, B06, T07, B08D, T11, T08, B01, B04, A09"
"A01D, T09D, T01, B11, P04, A06, P05, A02, A08, T03, B06D, P09, P03, A04, T10, A03, P08, T06, B12, B09, T11, B03, P01, B08"
"T04, P06, A10, B10, P09D, A11, T05, P08, P05D, T11D, B02, T02, P11, B08, B05, B03, A01, T03, T09, A12, A04, B06, P07, A02"
X
"P08D, T11, B07, A09, P05D, A04, A02, A05, A01, B03D, T03, B04, P12, B08, T12, T07, P09, B01, T08, P10, A07, B06, P02, T09"
"B03, T01, A08, P04, T03D, A06, P09, P05, B11, P08, A01, T09D, T06, P01, T10, B08, A02, B06D, T11, B09, A04, B12, P03, A03"
"A12, B08, B06, P08, T09, T11, T04, B10, A10, T03, A04, P07, P11, T05, B02, A01D, P09D, A02D, P06, T02, B03, A11, B05, P05"
X
"T09, T11D, T03, P08, B03D, A09, T12, P12, B07, T07, P09, A05, P10, B04, B06, T08, A01, P02, A04, P05, B08, A07, B01, A02D"
"B08, P09D, T03, P03, A08, B06, T06, A02, B11, A01D, T11, A03, P04, B12, T01, P08, T09D, P01, B03, A06, P05, B09, T10, A04"
"B03, T11, P07, B06D, B08D, A11, P09, A10, T05, P06, T02, A02, P11, A01, T09, P05, T03D, A12, B02, T04, B05, A04, B10, P08"
X
"A05, P05, P10, T03, T09D, P08, A09, T07, B03, A02, B07, T12, P02, B06, A04, P12, B04, A07, T08, B08, A01D, P09, T11D, B01"
"T10, T01, B09, T11, P08, B12, P09D, A06, P05D, B06, A03, B11, A01, A02, T03, T09, A08, B08, P04, B03D, P01, T06, P03, A04"
"P05, B03, A01, B10, P09, T05, T11, P06, T04, B05, A11, A10, T02, T03, A02D, B06D, A04, P11, P07, B08D, T09, A12, B02, P08"
X
"T12, B01, T09, T08, A07, A04, P12, P09D, T07, P05, P02, P08D, T11D, B07, A01, B06, A05, B03, P10, B04, A09, B08, T03, A02"
"P05, P03, T03D, B03, A06, A08, B08, P01, B06D, B12, A02, B11, T06, T11, A04, T01, A01, P08, P04, B09, A03, T10, T09D, P09"
"A04D, B08, B10, B02, A10, P07, A02D, A12, T04, P06, T03, T09, A01, A11, T11, B03D, P11, P09, T02, B06, P08, P05, T05, B05"
X
"T09, P02, B03, P08, A01, P10, T07, P05, A02, B07, T11D, P12, T12, T03, A05, A07, P09, B06D, B01, B04, A09, T08, B08, A04D"
"P01, B08, B12, T10, T03, T11, P04, P05, P03, P08, A03, B03, A04, B09, A08, B11, T09D, T01, A01D, A02D, P09, T06, A06, B06"
"P07, P11, T03, A12, B10, B08D, A02, P06, A11, P08D, T11, B06, T02, B02, T05, T04, A04, P09, T09, P05D, B05, A10, A01, B03"
X
"P10, T09, P09, B03, T11D, A01D, B04, T12, T08, A02, B01, T07, B08D, B07, A09, P08, B06, P02, P12, A04, A07, P05, T03, A05"
"T06, A02, B06D, T10, B12, P09D, A06, P04, P08, A03, P05, T11, B08, P03, A01, P01, T03D, A08, A04, T09, B11, B03, T01, B09"
"T04, T03, T02, P09, P07, P06, T05, A01, P08, A10, B06, T11, P11, A11, B03, A02D, B10, B02, P05D, A04, B05, B08, T09D, A12"
X
"B04, T03, A09, T12, P10, B01, P02, P05, T07, T09, T08, B07, T11, B03, B06, A01, A05, A07, B08D, P09D, P08D, P12, A04, A02"
"A02, B03D, T09, P04, B12, B08, T10, A08, A01, P05D, P09, A06, P08, A04, B11, T03, P03, B06, P01, B09, A03, T01, T06, T11D"
"B02, T11, P07, B10, T05, P09, B08, P05, P11, P08, A12, A11, P06, T04, A02, T02, T03, B06D, A01D, T09, A04D, B05, A10, B03"
X
"A05, B08, T07, P02, P08, B01, P09D, B06D, T11, A09, T03, A02D, P10, A01, T08, B04, B07, A07, T09, P12, P05, B03, A04, T12"
"T06, P04, A06, A01D, P03, P08, T09, A04D, A03, B12, B03D, B06, A08, T01, P09, A02, P05, P01, T11, B09, B08, B11, T10, T03"
"P11, A12, B02, B03, T09D, A01, T04, P08D, B08, A11, T02, T11, B06, A04, A02, P09, A10, T03, P07, B05, T05, B10, P06, P05D"
X
"T08, P09D, B03, B08, T11D, A01, P02, A09, T03, T12, B06, P05, A07, B07, A02, A04D, P10, T07, P12, P08, T09, B01, B04, A05"
"A06, P05, T06, B12, P01, A03, A01, P04, A02, P03, A04, B06, P08, B09, A08, T11, B11, T03D, T01, T10, P09, B08D, B03D, T09"
"P11, P09, B02, T04, A02, A04, A10, T11, B05, B06D, A01, P06, T05, A11, P07, P08D, B03, B08, T02, T03, B10, T09, P05D, A12"
X
