"P12, A10D, B11, T09, B06, P06D, A11, P01, T07, P07, A12, P02, T03, B10, A09D, B09, P05, T06, T02, A06, T11, A07, B01, B07"
"T04, P11, B01, T07D, A06, P04, T10, A03, A05, T02, B12, T05, B05, B11D, T06D, P06, A02, B06, P07, A10, P09, P12, A09, B02"
"T12, B08, A09, P10, T07, T08, B04, A01, T01, T06, B03, P06, P12, A04, T02D, B01, A08, B11, A06D, P08, P03, A10, P07, B06D"
X
"P05, A09, A11, P02, T02D, T09, P12, B01, T07, B09, B07, B11D, P07, A07, T11, A10, A06, B10, P01, B06D, A12, P06, T06, T03"
"B11, T06, P09, B01, B12, A02, A06D, B05, T02, A05, P07, P04, P11, P06, A10D, T07, B06, A03, T10, T05, B02, P12D, T04, A09"
"T02, T07, B06, T08, B01, P03, A08, A10, B03, P06D, P12, B11, P10, P07D, B04, A09D, A04, P08, B08, A06, A01, T06, T12, T01"
X
"T03, P07D, A11, P02, B01, B07, B10, A09, P12, A07, T02, P05, B09, A06, A10, A12, T06, P06D, T11, B11, T09, B06, T07D, P01"
"B02, B12, B01, T06, P11, P06, A10, T05, P12D, A03, A05, T07, B11, A09D, A06, A02, B05, P07, T10, T04, B06, P04, P09, T02D"
"A09, B03, P12, B01D, B08, P07, A08, P03, T07, T02, P06, P08, B11, A06D, B04, T06, B06D, T01, A10, P10, T12, T08, A01, A04"
X
"B11, T06, P05, P07, P12, A12, A10D, B06, A11, A06D, B09, P01, P02, B10, B07, T07, T09, P06, A07, T11, T02D, T03, B01, A09"
"T10, T02, T05, P11, T04, A03, B12, P04, T07D, A06, A02, A05, P07, A10, P09, P12, B05, P06, A09D, T06D, B06, B11, B02, B01"
"P08, T06, P12D, P03, T08, B06, A10, B11D, B01D, B04, P10, T12, A09, T07, A06, A01, T01, A04, A08, B03, P07, B08, P06, T02"
X
"P06D, T03, B01, T07, P12, A10, A11, P01, B11D, B10, P02, P07, T11, T09, B06, P05, T06D, A06, A12, T02, A09, B09, B07, A07"
"B11, T10, P04, B06D, B01, P07, P12, B05, T04, T05, A06D, A05, A09D, P11, B12, P09, T06, B02, A03, A02, T02, T07, P06, A10"
"T07D, T06, T02, B06, P12, P03, P07, B01D, T12, T08, A06, B04, A08, A09, P08, P06, B08, B03, B11, A04, P10, T01, A01, A10D"
X
"P05, T07, B11D, P02, B10, T02, A12, T11, B07, T09, T06D, A09, A10, B01, P12, P06, P07D, B09, T03, B06, A07, P01, A11, A06"
"B01D, P04, A02, A06, T02D, B11, T05, A05, B12, A10, A09D, T07, T04, P11, P09, B02, P07, P12, T10, B05, P06, T06, B06, A03"
"P08, P10, T01, B11, A06, B01, A04, P03, P12D, T12, P07, P06, A08, A01, T02, B03, T07D, B04, T06, A09, B08, T08, B06D, A10"
X
"B09, B11, T02, P12, A07, P05, T03, B10, B01, A12, A06D, P07, P02, P06, A11, P01, B07, A10, T07, B06, T11, T06D, T09, A09D"
"A05, T06, P06, B05, A06, A03, T02D, B12, P07, B02, T07, T05, B06D, P04, A02, T10, P09, P12, A10, B01D, A09, P11, T04, B11"
"A04, B11D, B03, A09, B08, T07, A08, P12, P06D, P08, T06, A06, B01, T12, A10D, T02, A01, T01, B06, P07, B04, P03, P10, T08"
X
"T07D, P02, B06, B07, B09, A11, P01, A12, B10, T03, T11, T09, A10, P12, T02, A06, A07, A09, P05, B01, T06D, B11D, P07, P06"
"T06, T04, P06, P09, T05, P04, T02D, A03, B11, A09, T07, A06, B02, A10D, T10, P12, B05, B06, B12, A05, P07, A02, B01D, P11"
"P03, T07, A01, A08, P06, A04, B04, T08, P07, P08, B08, A06D, T02, B06D, P12, B01, T06, B11, P10, B03, A09D, T12, T01, A10"
X
"B01, T06D, P01, A11, A10D, B10, A09, T09, T02, P07, T11, T07D, A06, A12, P05, B06, B09, B11, P06, P02, B07, T03, P12, A07"
"B12, B11D, A06, T04, P04, T02D, B02, B01, T05, P12, B06, P09, A10, A05, T10, P07, T06, P06, A03, P11, A02, B05, A09D, T07"
"P03, A04, P07, B08, B11, B03, P06D, T06, T07, P12D, A10, T12, B06D, A09, B04, B01, A08, A01, P08, P10, T01, T08, T02, A06"
X
"P05, T02, P02, T03, B01, A10D, T11, B07, A07, A06, A09D, B06, A12, A11, B09, P12, B10, B11, P06, T06, T07, P07D, P01, T09"
"P06D, P12D, T10, T07, P11, T02, A06, P04, A03, A09, A05, B06D, T05, B12, B11, P09, A10, T04, P07, B01, B02, B05, A02, T06"
"T12, P12, A08, T02, P08, P06, A04, A09, B04, B08, A01, P10, B01, P07, B11D, T01, T06, B06, P03, A10, B03, T08, T07D, A06D"
X
