"B03, P09, T06, B08, T03, A01, T12, A03, A10, T08, B06D, P12, P07, T11, T05, A02D, B04, B07, P10, P06, B01, A09, A11, P03D"
"B07, T03, T05, P07, P08, A02, A07, P03, T12D, P05, T01, B06, A08, T04, A09, B04D, B12, A06, A10D, P01, T07, B11, P09, B10"
"P09, P02, T05D, A05, A12, B09, B02, T03D, P04, A10, T02, B06, A02, T12, B07, P07D, T10, P11, T09, B04, A04, B05, P03, A09"
X
"P03, P12, P07, A01, P09, P06, B07, T08, T06, A02, A09, A10, T11, T12D, A11, B08, T03D, B03, B06, P10, A03, B01, B04, T05D"
"P08, B06D, T03, P03D, P01, A08, T04, T05, A09, P05, A06, B04, B12, A10, A02, T07, B10, P07, T12, P09D, B07, A07, B11, T01"
"A09, P09, P02, P04, A02, T09, B04D, B07, B05, P11, B06, A05, A04, T03, T10, P07D, B02, A12, P03, A10D, B09, T02, T12, T05"
X
"T12, T11, A11, B04D, T06, T03, B01, P12, B07, P07, B03, A03, P03, P06, T05D, A01, P09, B08, T08, A02, A10D, P10, B06, A09"
"P09, P01, B06, B12, B04, A08, T03D, B07, P07, T05, P08, A10, A06, P05, T12, A02D, P03, T07, B10, A07, B11, T04, A09D, T01"
"B05, P09, A05, B06D, A09, B09, P02, T09, A04, P11, T02, A02, T10, B07, A10, T03, B02, A12, T05, P04, B04, P03, P07D, T12D"
X
"P03, B01, B03, T06, T12, P09D, A01, A10D, T11, B07, B04, A02, P06, T03, A03, B06, P10, P07, A11, A09, T08, T05D, B08, P12"
"B06, T12D, B10, T07, T03, A06, P08, P07, B11, P01, P09, P03, B12, T05, A10, A09D, B07, T04, T01, A08, A07, A02, P05, B04D"
"B05, T10, P07D, A02, T12, B02, B06, B07D, T05, B09, P09, A10, B04, P04, A04, T02, P11, P02, A05, T03D, T09, P03, A09, A12"
X
"P12, A10, T08, B07, A11, B01, B04, P06, P10, T12, B06, A01, P03, P09D, T05, B08, P07, T06, A03, A02D, A09, T11, B03, T03D"
"A02, B12, A10, P03D, B11, T03, A06, B04, B10, P08, P05, A09, P09, P07D, T07, T12D, T05, B07, A08, A07, P01, B06, T01, T04"
"A10D, A02, T03, T05D, T02, P04, A04, T10, A09, B09, P02, P09, T09, B04, B02, P11, B05, P03, A05, A12, B06, T12, B07D, P07"
X
"T05D, P10, A10, A03, A01, T08, P12, B08, P03, B06D, B07, T12, T06, B03, P09, A11, T11, T03, B04, A09, A02D, P06, P07, B01"
"B10, T04, B04, A02, A06, T12, P01, P09D, B06, A08, A10D, P03, P05, T01, P07, B07, T07, P08, B11, A07, T03D, A09, B12, T05"
"P02, P04, T09, B05, T05, P03D, A12, B04, B07D, A02, B06, A04, T12, T10, T03, P07, A10, B02, P11, T02, A09D, A05, B09, P09"
X
"B06D, B08, A01, P07, T06, B03, P12, B01, P10, T12, A10, P03, T08, T03, P06, A11, T05D, A09, B04, A02, P09D, A03, B07, T11"
"T07, B04, B06, P07, P08, B12, T04, A02D, A09, A07, P05, T12, B10, B07, T05, T01, A10D, A08, A06, T03, P01, B11, P03D, P09"
"A10, B04, T09, A05, P09, T02, P07D, P02, B06, T10, T05, B02, A09, P04, T03, T12D, A02, B05, A12, B09, A04, B07D, P11, P03"
X
"A02, T08, T03, T05D, B07, P06, T12, P03D, P10, B03, A09, P07, B04D, P12, B01, B08, T06, A01, A03, A11, A10, T11, B06, P09"
"P03, A07, P05, B11, A08, P09, P01, T05, T01, B10, A09, B07, A02, T07, B04, T04, T12D, T03, B12, B06, A10D, A06, P08, P07D"
"P04, B06D, T10, T09, P03, B02, P02, B09, B04, A12, A09, T02, B07D, A05, T05, A10, T12, P11, B05, A02, P07, P09, A04, T03D"
X
"T11, B08, T06, A09, T08, P09, A02, T05, T12D, P03, B03, B04D, A11, A01, P10, P12, A03, A10, B06, P06, P07, B01, B07D, T03"
"B10, B07, A02, A10, B11, T04, P09, P03, A07, B06, P08, B04, P07D, A09D, T05, P05, B12, T01, T07, A08, P01, T03D, T12, A06"
"T10, B09, T12, B07, P02, T02, A09, T03, P04, P07, B04, A05, A04, B06D, P03D, T09, T05, A02, P09, B02, A10D, P11, A12, B05"
X
"P07, P09D, P10, B04D, P03, T11, B06, B01, T03, B03, T05, B08, A09, T12D, B07, T08, A02, A10, A03, T06, P12, A01, A11, P06"
"A02, A09D, T12, T01, B10, A07, T04, B11, B06, P03, A08, P07D, A06, T07, B07, P05, B12, T05D, P01, B04, A10, T03, P09, P08"
"T02, P03D, A04, B07D, T05, P07, B06, B02, A02, P04, T10, T03D, T09, T12, A05, B05, B04, A10, B09, A12, P11, A09, P09, P02"
X
