"A01, P04, B03, A03D, P06, T01, T07, B11, A08, T10D, B06, T02, A02, P08, A06D, T04, B09, P03, B07, B02, T03, P07, P05, A12"
"P09, B11, B07, B09D, A08, P01, A03, A05, B01, T05, T08, A06, P05, T07, A07, T06, A09, P06D, B10, B05, T10, P12, P04D, T03"
"P06, P10, A06, T07D, T11, T12, P05D, A03, B09, A04, B04, T03, P02, A10, B12, A08D, T10, P04, A11, B07, P11, B08, T09, B11"
X
"P03, P04, T07, T01, P07, A02, P08, A01, B06, T04, B02, A03, B11, A08D, B09D, B07D, A06, P05, T03, A12, P06, B03, T10, T02"
"A09, A07, T07, B10, T10D, B07, A06, P01, A03, P09, B01, P04, P05, A08, T05, A05, B11D, B05, T08, T03, P06D, B09, P12, T06"
"B09, A04, T11, T07D, P05, B07, T09, A10, A11, B12, A06D, A03D, P02, B04, P10, T12, B08, P04, P06, T03, P11, A08, B11, T10"
X
"B03, A02, A03, B07, A12, B11D, A01, P08, A08D, B06, T04, B02, T07, T03, P07, P06, T10, B09, T01, P03, P05, T02, A06, P04D"
"T10, T07, A07, P12, P04, T03, T08, A03D, A09, P05D, B09, P06, B01, B07D, B10, P09, A06, B11, A08, P01, B05, T06, T05, A05"
"B08, T09, A10, P11, P02, A03, T12, T07D, B11, A06, T11, P05, B04, A08, B12, B09, B07, P10, P06D, T03, P04, A11, T10D, A04"
X
"B07, P04, T01, B09, T03, T02, P07, B02, P08, B11D, A08, B03, A12, T07, P03, B06, A03, A02, A06D, P05D, P06, A01, T10, T04"
"P05, T03, P12, A07, P06, B01, B10, T10, B05, T08, B09D, A06, T06, A09, P09, A08, T07, P04, T05, P01, B11, A03D, B07D, A05"
"P02, B12, P11, A03, B09, T12, T11, A08, P06D, T07D, A06, P04D, T09, B08, T10, A04, A11, A10, P05, B07, B04, P10, B11, T03"
X
"B11D, T03D, B06, B02, A08, T10, T07, T02, T04, A03, P04, P06, A06, A02, P07, P05D, T01, B09, A12, B07, A01, P08, B03, P03"
"T03, B09, A06, B10, T08, A05, A09, P04, A08, P09, B11, T10D, P12, B05, A03, T07, T06, A07, B01, P06D, B07D, P05, T05, P01"
"P11, B11, P06, B09D, P10, B08, A04, B12, T12, T11, T10, T03, A06D, P05, A10, A11, P02, A03D, T07, T09, B07, A08, P04, B04"
X
"P07, B09, B06, A02, B02, A06, A01, T03D, T10, T02, P08, T04, B11D, B07D, A08, P04, P05, P06, T01, A12, T07, B03, A03, P03"
"B11, T07, B07, B01, A06, P06D, A07, T08, B05, P09, P05, B10, B09D, T05, T06, P01, A09, P04, P12, A03D, T10, T03, A08, A05"
"B08, A06, P06, P11, T03, P05, T10D, B11, A08, B09, B12, T09, B07, B04, A04, A10, P04D, A03, A11, T12, P10, P02, T11, T07D"
X
"T01, B07D, B03, B09, A01, B02, P05, A06, P08, A02, A03, P07, P03, T07, B06, T02, T04, A12, T10, A08, T03D, P06, P04D, B11"
"A07, B10, A03, A08, T05, P06D, P09, P12, P04, B05, B09, A09, T10D, B01, A06D, A05, T03, T06, B11, P05, B07, T08, P01, T07"
"A04, T12, P02, A08D, B11, P04, B12, T09, A03D, A11, T10, T03, T11, B08, P11, A10, A06, T07, B04, B07, P10, B09D, P06, P05"
X
"T04, T02, T03, A08, P05, A01, B09, P04, B11, T07D, A06, T10, P06D, A03, P08, T01, A12, B03, P03, P07, B06, B07D, A02, B02"
"T05, A05, P09, B01, T03D, B09D, P04, B05, P06, P01, P05D, B07, A07, A06, T06, T10, T07, B10, B11, A08, A09, A03, P12, T08"
"A10, B04, B11D, A08D, P05, T03, P06, B08, A03, T11, A11, T10, T09, B12, A04, P11, P02, P10, A06, T07, B09, P04D, B07, T12"
X
"P08, B02, T02, B09, P07, A06, T03, A08, P04, P06, T01, T10, B06, P05D, P03, A12, B03, A02, A01, B11D, T04, T07D, A03, B07"
"A08D, P05, A05, A09, A07, T10, B07, B10, B11, A06D, P12, P04, B05, T08, B09, T05, P09, T06, T07, T03D, B01, P06, P01, A03"
"P11, A06, B08, T12, A11, T09, A10, A08, T07, T03, A03, B12, B07D, B11, A04, B04, P02, P06, B09, T11, P10, P05, P04D, T10D"
X
"A06, B02, P07, A01, B09, P05, B11, P04, A12, T02, T01, A02, T07, B03, B06, A08, A03D, P06D, P08, T03, T10, P03, B07D, T04"
"P12, T05, A06D, P06, P01, A05, B10, A09, B09, T10, B05, P09, P04, P05, A08, T08, A07, B11D, T07D, T06, B01, A03, B07, T03"
"T03, A08, B07, P02, P04, A04, B04, B11, T11, A03, T10D, T07, T12, B08, A06, P10, B09D, P11, P05D, T09, B12, A10, A11, P06"
X
