"A03, A06, T05, T04, P01, T08, B12, T06, P09, A02, P06, P03, P04, T11, B03, B10, A04, A11, B06, P10, B07D, T09D, B04, A12D"
"B11, P08, T09, A07, A12, T11, T02, P10, B07, P09D, A09, T08, T12, A11, B01, B08, P01, B03D, A02D, P07, P05, B06, A10, T03"
"A08, B03, T01, A05, B07, P01, T10, A11, T08D, B02, P11, T09, B05, T07, A02, A12, A01, B06D, P12, P02, B09, P09, P10D, T11"
X
"B06, P03, P10, T11, T04, A11, B04, A12, P01D, P06, A06, A02, P09D, B07D, T08, A03, T06, T05, T09, B12, P04, B10, B03, A04"
"A10, T02, T08D, B01, B07, A12, B08, P07, P08, T03, T09, P05, A09, P01, B06, B03, T11, T12, P10D, A07, A02, P09, B11, A11D"
"T08, P12, B07, P10, A02, T11D, A08, T01, B02, B06, A01, T07, A12D, P09, P02, P11, A05, B03, T09D, B05, B09, A11, T10, P01"
X
"T11, B06, T09, P03, B07, T06, B12, A11, B03D, A04, P10D, A12, B10, P01, T04, P06, B04, A02D, T05, P09, A03, P04, A06, T08"
"A02, P08, P09D, A12, A10, P05, T02, T12, A07, B06, P01, B08, P10, T09D, B07D, A11, A09, T11, P07, B11, B03, T08, T03, B01"
"A01, B02, P02, T07, A11, T10, P10, B06, B09, B05, T09, P01D, P12, A05, T01, P09, T08D, P11, A08, B07, T11D, B03, A12, A02"
X
"T11, A02, A04, B06, A12, A06, T06, P10, T09, P01, P04, B03D, P03, A11, T05, T08D, T04, B12, B10, B07, P06, B04, P09D, A03"
"B03, P10, T02, A12, A09, T11, T03, A02D, P07, B07D, A10, B06, T09D, B01, P05, P09, T08, P01, B11, A11, P08, T12, A07, B08"
"B06, A02, B07, P09, P11, A08, B02, P02, T07, T08, P12, T09, A05, B09, A01, B05, B03, A11D, T10, A12, P10D, T11, T01, P01D"
X
"T08, P01, B07, T11, A03, B06D, T06, B12, T09, P10, T05, A06, B10, A02, T04, A11, A04, P09D, A12, P06, P04, P03, B04, B03D"
"T08, P07, A09, B06, B08, T09D, B07, T12, P05, A12D, P08, A10, A07, P10D, B01, B03, P09, T03, T02, P01, T11, A11, B11, A02"
"P09, T08, T09, T01, A02, B07D, P02, A01, A11, P01D, B02, T10, A12, P11, B03, B09, B05, P12, T07, A05, T11D, P10, B06, A08"
X
"P04, T06, T08, P10, T11, P09, A02, P06, B07D, T09, A04, B06, P03, B10, T04, A12, P01, A11D, T05, B03D, A06, B12, B04, A03"
"P09, B07, B08, T03, P05, P07, T09D, A02, A11, T12, P08, A07, B06D, A10, T11, T08, P01, T02, B03, B01, A12, P10D, B11, A09"
"P11, B03, T01, A12, T09, A02D, B02, P01D, T11D, P12, A01, B07, B05, T10, A08, T07, A11, T08, A05, P09, B06, B09, P02, P10"
X
"P03, A12, A03, T09, B12, B06D, T08, B07, B03, B10, T11, T04, A04, B04, P01, A06, P04, P06, P10, A02D, P09, T06, T05, A11D"
"B11, A09, B01, P07, B07, B06, A10, T12, P09, T11, P10D, B03D, A02, A12, P08, T02, A07, T08D, P01, T09, P05, T03, B08, A11"
"B02, T09D, P11, T07, P01, A12D, B05, B06, A05, P09, A08, P12, P02, A01, A02, B07D, B09, T10, T11, A11, T01, B03, T08, P10"
X
"A11, P04, B03D, P09, P06, B06, T04, P03, B07, T05, B04, T09, P01, T06, B10, T08D, B12, A02D, T11, A06, A03, P10, A04, A12"
"T12, A12, P10D, A07, T02, P05, T11D, T03, T08, T09, A11, B01, P08, A10, B03, P01, A02, B11, A09, B07, B06, P07, P09D, B08"
"P10, T10, P01, P09, T07, B02, B03, B07, T01, T08, P12, A11D, T09D, B05, B06, A05, A02, A12D, A08, A01, P11, T11, P02, B09"
X
"T08, A03, T09, T05, T06, B04, P09, B12, A04, B10, P10D, B06, A02, A12, B07, P06, B03D, A06, P04, T04, T11, P01, A11D, P03"
"A07, A02D, P05, T08, B01, T03, P10, P08, P07, T12, P09D, B03, A11, A09, B11, P01, B08, B07, A12, T11, B06, T02, T09D, A10"
"A01, T09, P11, A08, A02, B02, P02, A12D, B09, P10, B07, T08, T11D, A11, P12, B05, T07, P09, T01, B03, P01, T10, B06D, A05"
X
"P06, B04, A04, B03, A11, A03, B12, P04, A02D, T06, T08, B07D, P10, B06, A06, T11, A12, P03, T09D, B10, T04, P09, T05, P01"
"A12, P05, B06D, B01, T03, A07, T12, P07, T09, T08, A02, A10, B08, A11, B11, B07, P09, P01D, T11, P10D, P08, A09, B03, T02"
"A05, T10, A11D, P01, B02, T09, T11, A08, P09D, T08, B03, B06, P10, P12, A12D, B07, B05, P02, B09, T01, T07, A02, A01, P11"
X
